gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
SLC35B3,525,273,764,1642,1857,2011,2249,967,670,1077,759
RPP40,138,47,103,1477,1674,1205,1464,116,52,128,60
ATXN1,506,520,538,368,404,606,564,1046,945,1104,1260
NUP153,7277,7320,9658,15821,18187,16485,17557,14655,12823,15580,13667
DEK,25510,7447,12643,42169,49462,49283,52773,66672,61736,89642,84874
EEF1E1,1252,293,600,4130,4363,4378,5071,1341,859,1751,1038
CRISP1,5,13,5,0,2,0,2,0,6,0,36
RUNX2,124,34,68,132,190,295,342,27,9,28,25
OPN5,0,5,4,3,0,0,0,1,15,4,2
GCM2,17,17,6,23,18,3,5,10,16,8,17
LRRFIP1,1681,899,975,5166,6263,7093,6736,969,702,876,869
LOC93463,7,0,3,3,0,5,1,0,0,1,2
RAB17,6,4,11,2,2,5,2,10,4,15,14
CXCL6,0,0,0,0,2,0,0,0,0,0,0
EREG,300,141,158,29,46,54,24,55,67,69,101
TRIM51,0,0,5,0,3,0,0,0,0,0,4
DKFZP434K028,4,0,7,0,2,0,0,0,0,4,0
MYRF,77,40,70,31,29,40,41,70,58,89,83
SCGB1D2,0,0,0,0,0,0,0,1,0,0,2
SCGB2A1,0,1,0,0,0,0,0,1,0,0,0
AHNAK,3369,1881,2305,25114,27183,34298,32561,1572,564,1196,614
EMC3,3864,5432,11195,2086,2439,2556,2739,9518,7388,11059,7852
SSUH2,94,5,27,19,12,20,20,39,35,40,31
WNT1,2,1,0,0,0,0,0,2,0,0,0
SH3TC1,11,35,0,7,0,8,1,14,14,11,3
CNOT1,10950,8860,13987,14115,17100,16046,16306,11078,9520,11391,11508
LRRC29,63,63,126,21,25,10,10,74,92,74,66
BBS2,642,283,882,914,979,973,1101,371,163,320,190
MT1G,32,44,32,0,0,2,2,9,8,6,6
MT2A,227,147,513,33,14,75,50,197,112,236,130
C16orf70,430,282,395,519,638,592,588,448,399,337,462
