gene_name,CD34 shRNA SC,CD34 shRNA HRI 1,CD34 shRNA HRI 2,HUDEP2_nontargeting_sgRNA_undifferentiated_rep1,HUDEP2_HRI_sgRNA5_undifferentiated_rep1,HUDEP2_nontargeting_sgRNA_undifferentiated_rep2,HUDEP2_HRI_sgRNA5_undifferentiated_rep2,HUDEP2_nontargeting_sgRNA_differentiated_rep1,HUDEP2_HRI_sgRNA5_differentiated_rep1,HUDEP2_nontargeting_sgRNA_differentiated_rep2,HUDEP2_HRI_sgRNA5_differentiated_rep2
TSPAN6,86,42,105,635,647,662,686,83,55,55,67
TNMD,5,0,2,1,4,0,0,0,0,0,0
DPM1,1903,1287,1676,4059,4711,4025,4574,1753,1535,1889,1626
SCYL3,898,861,1175,925,822,1036,964,1093,1262,1280,1140
C1orf112,1759,870,1523,2253,2649,2688,2534,1558,1684,1508,1539
FGR,70,80,9,0,0,0,0,3,2,0,5
CFH,70,51,87,29,24,40,17,45,20,52,53
FUCA2,724,290,509,4342,4841,4797,4573,695,406,697,462
GCLC,9890,17430,24106,7845,8686,7952,8507,29191,37961,31284,41150
NFYA,1313,1641,2777,2713,3470,3360,3272,3420,3608,3214,3871
STPG1,368,264,304,233,229,302,316,279,339,303,369
NIPAL3,1494,673,1207,1344,1498,1724,1772,1777,1526,1939,1768
LAS1L,2131,524,1037,4820,5860,5839,6175,1206,814,1408,999
ENPP4,970,250,796,1474,1312,1635,1630,618,279,484,200
SEMA3F,0,6,0,5,2,1,0,4,2,1,2
CFTR,24,39,58,12,15,27,19,24,23,18,50
ANKIB1,1900,1324,2089,3669,4501,4048,4212,2171,1520,2261,1883
CYP51A1,4317,12100,8159,18465,21301,16233,17592,6691,5867,7873,6387
KRIT1,3743,3023,3999,3977,4562,4920,5254,3685,3542,4482,4109
RAD52,726,650,959,654,734,712,755,601,650,514,685
BAD,353,222,571,226,208,200,220,504,517,507,431
LAP3,2417,420,1544,6085,7476,7064,7717,1712,912,1863,971
CD99,361,96,242,1928,1969,2111,1861,408,339,479,297
HS3ST1,40,50,61,35,23,30,36,54,63,24,65
AOC1,11,6,4,13,5,8,6,13,7,19,9
WNT16,0,0,0,4,4,0,1,0,3,7,6
HECW1,80,34,43,24,33,57,55,27,68,23,43
MAD1L1,1947,733,1760,1739,1678,1626,1711,968,907,1068,1138
LASP1,2421,2812,2108,2020,2183,2299,2158,4528,5051,4707,4999
SNX11,274,242,293,386,394,488,384,289,254,373,304
TMEM176A,30,21,16,3,1,20,13,28,13,7,22
M6PR,4926,3590,6455,9294,10836,10403,10320,3565,3302,3491,3428
KLHL13,9,2,11,0,2,0,1,1,0,0,0
CYP26B1,8,0,0,0,0,1,0,1,0,0,0
ICA1,2823,308,2451,6087,6860,5667,5955,1472,2038,1598,2268
DBNDD1,12,16,31,6,10,18,11,21,18,16,5
ALS2,7025,4148,7556,17779,20771,19405,20987,3642,3123,3744,3646
CASP10,1395,992,1535,1000,1261,1625,1556,1376,1247,1413,1365
CFLAR,5746,5627,7554,3440,3696,4983,4757,6458,6967,7099,8341
TFPI,2995,3393,5596,4005,4835,5698,5688,7210,8458,8047,9936
NDUFAF7,821,350,871,1236,1473,1459,1421,663,520,663,620
RBM5,15628,15041,22857,7233,8506,9129,9273,15172,17070,16052,17547
MTMR7,182,141,179,184,231,226,284,197,198,166,261
SLC7A2,7,27,19,22,24,30,19,7,13,17,8
ARF5,473,223,476,591,619,616,538,598,396,586,551
SARM1,133,46,119,68,88,95,89,57,38,69,67
POLDIP2,1263,806,1490,3112,3579,3244,3006,1510,1223,1617,1330
PLXND1,2796,75,948,4617,4671,5439,5091,731,424,599,324
AK2,3006,650,1814,12056,13656,12804,12887,1416,1003,1401,1218
CD38,401,165,403,41,21,18,26,54,25,46,40
FKBP4,4267,1610,1794,9013,10672,12757,12818,4414,2695,4813,2830
KDM1A,4682,1596,2900,12394,14965,13085,13303,3117,2576,3521,3107
RBM6,6384,5468,6768,4887,5689,5743,5616,6837,6375,7767,6561
CAMKK1,31,38,10,238,285,131,147,47,20,20,29
RECQL,4994,1302,3597,6471,7207,7813,7888,5821,4944,6149,5396
VPS50,3768,2944,4866,3040,3656,3830,4147,4437,4483,4299,4331
HSPB6,11,4,11,2,6,3,8,5,12,0,18
ARHGAP33,243,143,322,73,54,30,33,182,301,106,248
NDUFAB1,1427,631,1434,4617,5100,5155,6037,1022,686,1280,809
PDK4,14,287,496,1,3,7,3,6,4,6,5
SLC22A16,2215,3189,6253,249,352,380,470,2685,3637,2321,4286
ZMYND10,60,25,63,63,79,87,78,108,120,71,96
ABCB5,172,372,540,8,16,13,12,142,290,178,259
ARX,3,6,2,7,2,7,11,8,3,18,9
SLC25A13,1278,680,1276,2402,2979,3125,3618,697,558,692,698
ST7,1977,1646,2580,3182,3853,3607,3590,2459,2453,2530,2565
CDC27,16981,22009,42123,10049,11601,11267,11522,20722,22688,21969,23658
SLC4A1,91620,149517,310176,1199,3079,1719,1775,200494,226597,222539,252144
CALCR,12,6,0,0,0,0,0,0,2,4,0
HCCS,1161,1188,4951,1132,1301,1325,1336,1316,1334,1339,1420
DVL2,987,569,1101,826,915,699,631,787,1030,938,1129
PRSS22,0,0,4,0,1,0,0,0,0,4,0
UPF1,1592,1225,1669,3157,3334,3872,3426,2631,2620,2772,2676
SKAP2,1497,824,1735,1551,1742,2069,2036,782,481,652,614
SLC25A5,3410,1305,2160,8445,9453,8185,9014,5327,4747,5227,4778
MCUB,785,172,473,2070,2101,2606,2613,276,364,362,323
HOXA11,5,0,5,0,0,0,0,0,6,0,0
POLR2J,1188,905,1531,1782,2081,1864,2086,1223,1118,1373,927
DHX33,673,307,538,1906,2318,2116,2066,423,420,420,384
MEOX1,7,0,0,3,0,0,0,0,4,0,0
THSD7A,182,65,138,11,7,2,5,6,1,1,1
LIG3,1437,624,1008,2773,3069,3190,3140,666,496,797,558
RPAP3,1574,377,951,3939,4666,4454,4519,1508,1050,1751,911
ACSM3,2524,904,1548,860,983,725,808,966,1194,1219,1576
REXO5,2181,1263,4324,1152,1315,1338,1226,2276,2509,2401,2862
CIAPIN1,636,349,669,2218,2666,2390,2604,548,361,542,313
SPPL2B,524,324,803,840,809,872,707,621,498,651,540
FAM214B,1728,4098,4003,214,235,247,181,3892,4388,3973,4667
COPZ2,22,0,4,22,24,26,23,12,12,25,8
PRKAR2B,6720,3295,5752,7199,8484,8421,9018,6607,5355,6647,5638
MSL3,1450,919,1273,2403,2826,2735,2961,1787,1597,2025,1551
CREBBP,2227,2749,3952,1270,1531,1563,1252,4493,4672,4437,5248
TSPOAP1,577,276,868,76,101,111,142,224,392,394,487
MPO,1176,942,889,3,0,0,0,8,1,0,50
PON1,2,8,5,1,1,3,4,5,3,1,11
GCFC2,1376,783,1155,3835,4496,4315,4406,1525,1083,1726,1409
WDR54,57,2,31,122,159,289,234,16,8,14,28
CROT,783,406,396,379,445,614,576,124,71,81,85
ABCB4,1578,68,506,9,13,2,8,2,0,5,3
KMT2E,7103,8010,12048,3167,3673,3612,3356,8281,8691,8933,9894
RHBDD2,272,194,233,160,159,164,156,386,255,396,281
SOX8,0,2,0,0,1,0,5,0,0,0,0
IBTK,1727,788,1551,3784,4027,4990,4814,1558,1282,1462,1412
ZNF195,563,378,473,1564,1782,1973,1963,377,329,421,393
MYCBP2,7247,3622,5815,11801,14631,13745,14793,4421,3388,4179,3611
FBXL3,3486,3764,6378,3638,4081,3871,3937,7391,8064,8348,8993
ITGAL,186,155,166,31,21,29,29,40,28,32,32
PDK2,29,37,2,131,131,188,140,443,312,503,400
ITGA3,68,74,51,43,49,69,52,37,78,81,83
ZFX,2449,3276,3711,2670,3135,3052,3236,4294,4056,4595,4507
LAMP2,5792,8215,11756,5237,5619,7293,7120,5482,4415,5686,4758
ITGA2B,634,479,694,1137,795,1177,989,33,66,44,74
ASB4,182,111,121,89,109,116,99,63,143,105,117
GDE1,3929,7206,10430,5674,6231,6069,5887,10569,12003,12196,12758
REX1BD,476,203,470,936,933,971,994,456,378,464,489
CRLF1,245,207,216,300,378,416,376,262,240,320,401
OSBPL7,81,9,94,139,115,108,95,37,29,45,37
TMEM98,371,332,363,776,947,1144,1030,114,122,97,134
YBX2,438,180,286,701,650,776,665,2286,2763,2243,3033
KRT33A,0,5,0,0,0,0,0,0,2,0,0
MAP3K14,214,97,202,83,74,116,139,101,91,135,140
ABCC8,3,0,2,5,2,0,0,1,0,6,0
CACNG3,7,2,1,4,1,1,10,4,3,5,15
TMEM132A,24,23,20,24,26,33,24,34,43,29,47
AP2B1,12159,6860,14541,7330,8630,10344,9266,10645,9527,10838,10281
TAC1,0,2,0,1,0,0,0,0,3,0,6
ZNF263,1068,813,752,1364,1618,1590,1673,492,432,661,493
CX3CL1,51,27,37,26,21,30,41,34,48,54,21
SPATA20,118,27,99,229,256,257,198,31,17,22,9
CACNA1G,55,69,64,24,33,50,42,56,42,41,32
TNFRSF12A,67,32,35,229,303,289,309,97,47,103,49
DLX6,5,5,10,5,3,10,3,4,7,13,7
MAP3K9,100,45,82,28,42,41,47,48,62,73,97
RALA,453,145,335,978,1201,1487,1170,350,338,346,404
BAIAP2L1,48,111,123,26,34,57,52,52,45,42,104
KDM7A,5458,13118,8356,617,816,943,832,9971,12356,10368,12226
ETV1,14,2,1,12,0,3,2,21,14,2,39
AGK,321,182,322,1032,1234,1311,1559,119,57,128,51
ALDH3B1,1743,1870,3417,1029,958,950,810,1191,1974,1448,1956
TTC22,38,31,27,11,19,21,31,18,37,25,37
PHTF2,1404,1140,1543,2079,2431,2552,2454,1283,1415,1393,1762
CCL26,0,0,0,0,0,0,0,0,0,0,0
FARP2,1950,620,1180,3037,3535,3318,3411,1146,1351,1248,1505
USH1C,0,0,0,0,0,0,0,1,2,4,0
GGCT,2145,160,726,5090,6105,5874,6138,861,631,917,668
DBF4,5420,3135,5998,5344,6529,6168,6663,8013,7403,9453,8796
TBXA2R,36,58,42,23,17,21,14,50,64,40,49
IFRD1,2941,3867,3884,1888,2222,2202,2146,3591,3349,4356,3453
LGALS14,31,46,32,22,17,18,20,17,14,21,25
COX10,415,292,387,965,1075,1109,1169,233,170,240,218
GTF2IRD1,65,36,40,52,73,63,51,48,71,75,34
PAF1,1803,1277,2367,2495,3034,2956,3050,4341,3115,5072,4165
VPS41,6307,5544,9415,8492,9014,11031,11749,6356,5831,6676,6041
ARHGAP44,85,95,91,80,91,122,108,92,86,122,111
ELAC2,1873,864,1377,4647,5452,5303,5527,1415,1129,1471,1325
SCIN,207,222,210,149,165,161,166,253,252,174,285
ARSD,202,136,308,158,146,209,168,141,170,149,227
PNPLA4,335,225,353,511,603,642,525,404,452,372,474
MYH13,5,0,3,5,1,4,0,6,0,0,9
ADIPOR2,4320,3123,6566,4007,4977,4969,4864,7762,7043,8459,7957
CDKL3,135,64,185,95,105,85,91,142,151,130,154
UPP2,12,5,10,7,5,12,9,11,20,12,7
PRSS21,2,0,3,0,0,0,0,1,0,0,0
MARK4,211,117,249,117,130,166,130,212,148,176,170
PROM1,46,49,32,3,11,9,14,19,19,8,33
CCDC124,547,365,626,1637,1794,2050,2003,842,665,958,650
CEACAM21,0,6,0,1,0,2,1,2,0,0,0
PAFAH1B1,6089,5658,7131,6766,7742,7493,7677,7765,7150,8160,7540
NOS2,14,10,0,7,2,0,0,3,2,0,4
DNAH9,24,13,29,12,8,10,23,47,51,54,32
KIAA0100,3835,1882,3299,9164,10987,10509,10583,2979,2005,3053,2163
SLC13A2,1,0,0,9,0,2,0,2,0,0,0
GAS7,235,97,176,25,48,64,77,49,53,57,57
TRAPPC6A,68,26,88,123,82,81,131,50,45,58,44
MATK,48,14,35,107,131,96,141,15,22,14,16
CEACAM7,0,0,0,0,0,0,0,0,3,2,0
CD79B,0,0,1,0,0,0,1,0,0,0,0
SCN4A,55,15,33,3,2,4,0,3,20,3,5
ST7L,922,593,1236,533,663,617,622,695,774,680,772
TKTL1,1,13,2,0,0,0,0,3,0,1,0
PAX6,100,45,47,97,123,116,171,75,64,108,76
RPUSD1,113,24,112,310,399,261,247,76,34,39,34
RHBDF1,70,156,181,18,24,21,3,29,22,29,35
LUC7L,2577,2694,2749,2362,2757,2753,2589,3183,3184,3483,3412
CACNA2D2,7,19,63,5,6,6,3,9,12,17,26
BAIAP3,20,14,45,13,23,23,31,5,22,17,31
TSR3,855,724,1278,1288,1624,1346,1486,750,495,884,638
PIGQ,4075,8150,12203,1230,1281,875,813,5093,6868,4887,7268
CRAMP1,1262,1138,1833,1131,1213,1264,1116,1587,1606,1470,1852
TEAD3,12,17,4,172,190,193,158,7,3,11,25
SELE,4,0,0,2,0,0,0,0,5,2,0
DNAJC11,3074,1231,2631,5654,6732,6525,6458,1120,1008,1336,1091
FMO3,33,20,36,11,17,12,24,18,33,9,23
MYLIP,1097,1715,1877,824,865,1691,1438,3634,4130,4531,4998
NOX1,0,0,3,5,4,9,2,5,7,0,0
E2F2,1358,2461,2449,355,488,394,431,5096,6250,5320,6899
PSMB1,3362,2953,5248,10378,11302,10951,11681,5503,4622,5844,4898
SYN1,25,2,3,10,19,16,5,26,14,16,8
JARID2,5239,2797,5516,4903,5144,7230,6458,8999,8053,9376,8546
CDKL5,452,428,527,300,306,408,338,469,475,410,731
CAMK1G,0,0,0,4,0,0,0,0,5,5,0
CDK11A,2164,2498,3250,1055,1314,1242,1225,7065,7561,7338,8813
NADK,1174,1281,1050,2724,2883,2638,2734,1695,1643,1874,1596
TFAP2B,7,5,0,4,0,0,0,3,0,2,0
TFAP2D,4,0,0,0,0,0,0,1,0,0,0
DLEC1,61,15,29,23,39,31,26,10,2,39,30
CYTH3,1102,904,1626,855,953,1014,1033,736,1041,855,1110
ADAM22,306,71,275,546,735,628,793,250,243,230,321
SYPL1,662,836,954,1475,1668,1737,1600,681,502,656,411
CYB561,63,21,46,1342,1547,1406,1285,62,31,62,38
SPAG9,9543,11264,9585,7668,9085,9489,9800,12015,13445,13371,15612
CELSR3,131,37,100,278,237,209,193,73,46,76,51
AASS,465,122,259,582,332,498,499,367,218,330,222
PLEKHG6,24,27,25,16,9,26,23,10,5,5,11
SS18L2,445,273,468,796,908,828,757,465,487,582,376
MPND,238,123,331,222,248,268,200,169,220,158,193
MGST1,308,126,177,1987,2442,2264,2288,119,97,131,90
CRY1,1455,1046,1384,2097,2517,2671,3003,4538,4098,4910,4543
PGLYRP1,1,0,0,2,1,9,1,0,3,0,15
NFIX,1894,2664,2419,2243,2408,2496,2243,6540,5779,7495,6786
ST3GAL1,2267,2460,1683,3694,4518,5023,4859,6088,7300,7350,7647
MMP25,13,23,4,0,2,0,0,1,0,0,2
IL32,30,18,52,21,43,30,42,15,28,28,25
PKD1,2160,1195,1813,591,547,521,475,2951,3397,3049,3531
MAPK8IP2,43,47,34,21,21,25,36,37,47,26,49
MED24,1490,731,1359,2609,2862,2712,2607,1571,1258,1423,1286
RHOBTB2,161,39,149,247,358,292,243,96,135,157,128
HEATR5B,2115,1388,2594,2548,2885,2860,2876,1865,1641,1868,1613
SEC62,16408,27720,31529,8139,10019,9574,9734,34067,32160,38801,37384
RPS20,28962,9983,18047,78509,96951,81361,76046,25134,20796,25858,19235
CSDE1,23681,33555,39311,40582,46974,47178,46906,34575,29539,39267,31459
UBE3C,4764,3493,6463,6954,8042,8107,7966,5733,5349,6363,5523
REV3L,6742,4740,8379,7049,8184,8966,9312,7435,6767,7426,8131
TENM1,22,46,95,7,5,10,8,97,131,126,174
PAX7,2,2,0,0,1,0,0,6,2,4,1
MASP2,105,64,196,59,96,80,69,93,154,166,160
IYD,146,108,174,75,47,62,72,126,132,116,107
FAM76A,494,336,602,549,606,614,641,584,573,605,528
TRAF3IP3,362,276,295,129,141,200,179,40,14,54,28
POMT2,246,160,254,430,379,314,410,249,213,306,274
VTA1,1919,1290,2022,5819,6721,7139,7578,2969,2459,3425,2856
MLXIPL,40,33,37,32,35,34,62,119,62,101,87
BAZ1B,9750,4699,6602,11796,13710,14828,14665,11071,10452,13044,12824
RANBP9,2701,2961,3698,4322,5110,5760,5568,7528,8144,9007,9259
ETV7,76,48,52,114,113,94,93,98,97,115,73
SPRTN,1360,955,1324,1457,1694,1680,1698,1404,1290,1610,1400
METTL13,2128,413,1408,3551,4273,4289,4586,1330,950,1544,1001
DYRK4,265,89,230,502,505,676,604,272,260,190,260
ZNF207,15693,13575,20035,13712,16271,15627,15296,15887,15785,15987,16642
UQCRC1,1992,952,2468,5413,5828,5903,5966,1688,1387,1753,1323
STARD3NL,626,413,550,1720,1830,2016,1928,651,541,785,622
CD9,274,122,45,12,14,10,7,14,12,8,9
HHATL,4,0,0,6,0,0,3,2,0,0,0
NCAPD2,7323,4206,8162,6304,7294,7625,7470,9065,9021,9068,10011
IFFO1,767,482,658,367,312,401,293,152,239,182,216
GIPR,131,70,156,210,190,171,148,97,68,50,108
PHF7,2069,885,2566,1162,1362,1286,1164,1303,1458,1332,1578
SEMA3G,17,3,10,10,13,9,13,9,8,0,6
NISCH,1584,946,1851,1624,1496,1581,1477,1129,986,1057,1042
STAB1,10,28,16,0,5,1,5,3,2,2,8
FUZ,335,153,339,516,499,577,507,474,597,526,510
SLC6A13,6,4,14,1,2,2,0,12,44,20,18
IDS,507,259,625,310,376,332,328,292,244,282,240
PRSS3,0,1,0,0,0,0,0,0,0,0,2
ZNF200,989,374,729,1080,1154,1007,1260,579,747,663,695
CD4,65,5,10,4,10,4,5,4,7,12,11
LRRC23,132,37,171,145,172,189,274,139,120,182,127
BTK,2800,4077,7167,4504,5097,4805,5081,3718,3792,3434,3981
HFE,37,36,71,99,81,123,102,39,74,54,68
SCMH1,787,335,772,857,985,919,867,514,737,448,855
FYN,1995,1667,2538,21,7,14,6,80,14,62,43
HIVEP2,585,71,149,37,32,65,25,78,27,46,29
FMO1,5,13,3,1,3,4,2,4,5,0,13
ELOA,1417,1104,1781,3132,3894,3659,3863,1982,1562,2180,1543
LYPLA2,215,181,321,534,530,570,479,268,288,270,323
CLCN6,1155,1707,2280,757,846,841,779,1194,1255,1222,1276
MRC2,36,1423,814,8,29,17,28,65,64,81,98
NME1-NME2,157,0,35,516,604,670,469,67,0,50,41
SLC6A7,0,4,0,4,0,1,0,1,0,0,1
TSPAN9,26,24,1,10,3,3,2,3,3,0,0
BTBD7,1003,1731,1842,1287,1498,1227,1399,1357,1501,1620,1574
APBA3,265,286,346,342,254,339,301,342,290,359,368
MKS1,1166,282,779,939,971,1061,1021,340,303,452,291
ABHD5,4200,5783,8042,1410,1755,1694,1897,10917,7730,12285,8233
ANOS1,214,795,703,7,5,3,2,232,385,227,407
AKAP8L,4628,8208,10742,4416,4978,3715,3734,10874,13759,11887,14123
MBTD1,1418,1698,1926,1946,1986,2332,2344,1925,1925,2164,2025
UTP18,2026,765,1642,4371,4777,5027,5239,1495,1016,1593,1049
RNF216,2287,1701,2520,1623,2133,2265,2119,1116,959,1281,1143
TTC19,1967,768,1185,3070,3751,3935,3812,891,681,850,806
PTBP1,3413,1883,2667,10269,11114,10219,9547,4804,4858,5186,5045
DPF1,70,31,57,156,139,118,84,41,48,64,72
SYT7,5,0,2,1,4,1,0,1,1,4,2
LARS2,1035,347,501,1764,1767,1799,1862,365,299,399,257
PIK3C2A,3784,4011,4356,3034,3490,3750,3772,2936,2920,3218,3377
PLAUR,398,195,223,114,131,183,134,183,186,180,244
ANLN,9269,6354,12699,4458,5222,6065,5738,11863,11990,12204,12976
WIZ,249,192,341,454,480,559,576,381,349,365,305
GPR21,1862,1990,2617,1624,1784,2150,2058,1562,1737,1898,1736
DCN,40,56,47,20,14,15,24,40,61,25,38
QPCTL,100,100,166,467,438,348,328,97,82,110,73
PPP5C,967,215,623,2941,3522,3395,3326,839,734,925,648
CEP68,711,519,811,469,466,687,543,383,393,380,376
MAP4K3,883,514,519,1038,1013,1301,1383,373,236,403,230
ZBTB32,33,36,27,67,71,91,80,38,80,37,93
TYROBP,208,93,114,0,0,3,0,1,0,0,3
TMEM159,82,129,116,222,286,271,279,71,77,86,99
GABRA3,24,5,12,3,6,7,4,12,13,4,15
BRCA1,7293,1796,5008,7193,8584,9895,10324,6167,5257,6514,5865
ERCC1,525,273,454,917,1137,1451,1225,658,505,647,628
CD22,54,9,42,18,20,27,13,25,20,30,32
SEMA3B,24,5,18,3,5,5,5,8,19,8,17
MBTPS2,159,65,183,382,448,527,490,74,85,129,89
PRICKLE3,145,164,230,157,132,152,148,133,130,114,113
LTF,49,148,256,1,8,5,5,34,50,29,50
EXTL3,472,317,618,4489,4644,3443,3731,423,261,328,261
NR1H4,5,3,4,0,2,0,0,5,0,0,2
ELOVL5,8324,4096,5873,13746,15206,15018,14297,9040,8992,9794,9654
ALOX5,110,82,87,414,401,348,357,121,269,114,102
KDM5D,7751,7966,25624,3978,4556,4296,4519,9474,10062,9936,11450
CALCOCO1,4575,9042,11808,750,955,954,1018,7485,10393,8628,11416
UBR7,1401,350,930,1719,2134,2132,2101,1537,1297,1563,1492
MAP4K5,6234,7413,11874,3090,3454,3542,3644,8378,10084,8901,11080
EHD3,30,1,19,5,6,10,6,7,2,6,10
PSMC4,1048,937,1696,2898,3228,2996,3162,1647,1412,1922,1609
MAN2B2,567,184,405,564,501,629,649,679,861,651,1106
SLC7A14,147,122,218,70,71,100,62,131,190,117,176
CLDN11,247,263,295,110,160,146,135,211,359,252,313
SLC25A39,8391,18036,22281,1549,1974,2390,2129,19320,19292,21094,22916
MVP,412,735,629,387,409,515,490,469,658,489,691
NUB1,3252,3337,4561,2373,2914,3041,3021,5432,6844,6550,7803
PGM3,786,234,468,3010,3344,3488,3446,1545,950,1397,934
RWDD2A,26,41,24,240,273,247,250,40,36,51,59
CLK1,11720,14804,20901,5832,5893,5803,6396,21042,22201,22593,23089
POLR3B,555,436,428,2331,2857,2937,3108,286,137,457,250
ANGEL1,369,275,832,669,662,698,617,192,90,194,153
RNF14,2702,4563,8293,3178,3335,3725,3934,3737,3640,4107,3810
DNASE1L1,588,438,822,316,308,436,348,358,398,453,514
DDX11,4090,1174,3124,2662,3050,3006,2405,2122,2449,2182,2653
HEBP1,1060,324,900,519,711,434,433,119,127,104,102
GPRC5A,97,70,95,63,41,76,62,92,95,70,87
MAMLD1,58,32,106,5,0,0,0,13,12,12,1
CD6,86,36,76,44,37,40,39,66,86,49,111
TACC3,3050,1455,3690,2043,2539,2814,2406,3807,3945,3280,4357
UFL1,3100,2048,4316,6791,8043,8404,8868,4925,4790,5763,4910
POLA2,1521,360,909,1208,1530,1537,1538,696,683,762,762
ZC3H3,130,193,231,124,103,174,102,232,161,220,268
CAPN1,1832,3043,2688,3572,3756,3692,3287,4015,4012,4135,4033
ACPP,49,37,71,972,1114,744,777,62,123,66,87
MDH1,2144,846,1977,8616,9728,9017,9307,2822,2178,3186,2167
SLC30A9,5784,2680,9470,8150,9407,8938,9532,5768,4998,6357,5297
MTMR11,52,83,134,24,15,26,16,32,62,26,68
COX15,1426,741,1338,2933,2973,3096,2777,1096,855,1038,1069
CCDC88C,1275,510,891,2211,2515,2640,2470,1264,1650,1218,1689
YAF2,1411,1376,1638,1555,1791,1688,1903,1825,1940,2003,2104
ZMYND11,3660,2854,3432,4994,5781,5859,6088,2306,2138,2657,2219
WAS,60,19,64,49,21,21,13,9,18,2,16
DPEP1,0,0,0,0,0,0,0,0,1,0,0
BID,678,161,255,1276,1432,1143,1196,163,126,194,152
MATR3,21560,12262,22349,34812,40006,39515,38829,22571,17913,25123,18912
NPC1L1,14,10,22,1,4,0,5,2,12,1,7
XYLT2,246,134,360,326,257,325,314,85,106,77,114
RGPD5,689,601,846,396,446,747,533,347,485,382,511
STMN4,6,5,22,14,18,10,25,11,30,7,11
NUDCD3,2173,1161,3709,1779,2106,2574,2306,1874,1883,1939,2094
ISL1,0,1,0,1,0,0,0,1,4,4,0
CHDH,78,74,96,333,416,332,376,44,81,40,102
IL20RA,2,0,0,0,1,0,0,2,0,3,2
CLCA1,0,0,0,4,10,1,3,6,5,3,1
CLCA4,0,0,1,0,0,0,0,0,3,0,4
GLT8D1,1171,409,947,1879,2156,2128,2235,508,390,600,330
ATP2C1,6583,4116,7795,7302,8690,10138,9915,4075,4122,4002,4429
IGF1,3,0,0,0,2,0,0,2,3,6,4
SLC38A5,1344,2077,3525,3100,3272,3121,2843,975,1049,1039,1079
RALBP1,7046,4820,7212,15309,19675,17949,20630,8442,8414,9691,8735
RUFY3,906,517,397,1503,1820,1529,1562,647,592,702,443
CNTN1,16,10,11,9,5,2,1,4,9,6,9
SLC11A1,292,206,349,542,536,537,496,247,246,251,261
WWTR1,49,40,48,78,61,96,95,49,26,66,44
AGPS,4931,1742,3155,11360,12638,12302,13107,4308,4008,4720,4082
CXorf56,871,912,1228,1849,1976,1930,2050,975,993,1231,975
ATP1A2,40,6,5,20,22,39,15,7,20,6,26
TTC27,1554,367,755,5190,6276,6336,6592,593,315,622,405
ZNF582,99,75,74,103,112,126,137,21,24,32,24
VSIG2,15,2,0,7,6,5,3,0,5,5,0
PHLDB1,124,165,242,1051,993,979,863,196,235,229,248
MARCO,2,1,0,0,0,0,0,0,1,1,1
CYP24A1,17,0,7,3,4,0,0,7,2,0,4
PRDM11,236,388,95,365,425,438,406,758,632,775,762
SYT13,10,5,3,17,8,9,10,7,13,14,26
SNAI2,1,8,3,397,593,450,561,295,236,363,336
CD74,232,63,111,28,9,26,19,30,12,34,7
HGF,106,11,63,2,1,0,1,0,6,4,0
ZRANB1,3770,4877,5931,2459,2923,2531,2489,6649,7377,7089,8182
NCDN,119,72,132,504,670,596,520,291,217,299,307
ADGRA2,2,4,13,29,17,30,31,28,19,15,29
ZFP64,203,164,207,483,564,508,485,115,104,109,116
MNAT1,1547,807,1255,1612,1976,2415,2309,471,415,514,522
SAMD4A,128,53,86,447,579,586,547,102,89,160,71
RUNX3,86,61,99,176,146,211,195,41,115,158,67
MRE11,4913,1633,3969,6338,7092,7772,7349,4389,4158,5080,4492
PLEKHB1,18,4,8,2,7,6,0,3,5,7,6
SERPINB1,2168,1276,1636,313,235,249,165,414,261,372,366
CYP3A43,47,37,54,21,39,17,30,23,15,35,51
SLC7A9,9,7,6,0,13,2,4,21,24,33,20
SPAST,3461,3589,4167,3397,3698,3475,3625,4615,4725,5149,5126
NRXN3,49,50,27,15,13,4,20,34,37,14,24
OSBPL5,590,175,235,244,295,312,329,52,48,45,62
AQR,4081,2552,3645,7039,8340,8969,9304,4303,3400,4985,3927
CPS1,148,54,62,21,23,72,62,63,32,44,45
C8B,1,5,9,4,0,0,0,0,1,3,0
FHL1,23,3,4,8,20,20,13,1,0,0,1
RTFDC1,3483,3921,5103,4635,5398,5512,5465,4786,3754,5075,3983
GABRA1,17,6,13,3,7,3,4,1,9,7,11
NLRP2,45,43,47,281,395,318,326,67,61,58,76
SLC45A4,329,274,319,295,271,313,213,339,284,356,288
RNF10,4146,6510,7616,2448,2823,3547,3080,10963,9335,11327,9593
ZNF839,618,484,788,460,609,696,714,475,427,425,502
ZDHHC6,1627,794,1239,2930,3149,3026,3189,1044,787,1156,905
GRAMD1B,22,43,31,15,12,12,17,16,36,37,25
RNH1,1783,508,973,4648,4850,4812,4418,1102,895,1124,843
NDUFS1,5233,3177,5447,8287,9393,8740,9058,4847,4553,5278,5206
RB1CC1,17272,55959,53019,6573,7935,9138,8873,47781,59153,55331,68691
ERP44,1516,1655,3417,2691,3192,3427,3368,1904,1678,1921,1820
ALAS1,2207,1268,1476,1217,1330,1140,991,700,668,729,682
BIRC3,382,393,195,57,64,240,219,37,67,61,52
AKAP11,2116,767,1948,3781,4665,5008,4945,1945,1452,2080,1730
GLRX2,311,135,255,709,748,829,942,371,350,568,389
SNAPC1,1170,333,1048,988,1159,1249,1208,1055,955,1223,1168
