gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
TSPAN6,4382,4392,3845,5092,4754,4104,2654,2735,2354,4263,4029,3553
TNMD,135,143,130,182,119,110,2,1,29,39,2,0
DPM1,2401,2366,2364,2564,3016,2418,2109,2051,1615,1637,1541,1553
SCYL3,383,385,463,385,507,479,506,582,441,645,639,644
C1orf112,2054,2035,1853,1646,1858,1841,570,879,746,1246,817,494
FGR,8,7,19,7,8,5,0,0,0,2,2,1
CFH,1,0,1,3,1,3,1250,460,156,94,554,545
FUCA2,2616,2645,3022,3068,3017,2804,4666,5252,3789,4334,4223,4112
GCLC,2806,3157,2739,3220,2560,3574,1259,1143,1259,1379,1282,1249
NFYA,2456,2522,2156,2389,1845,2077,2438,2946,3752,3694,2838,2532
STPG1,364,346,452,392,428,315,466,448,370,406,325,340
NIPAL3,507,520,611,587,557,541,1820,1691,768,593,1701,1786
LAS1L,4727,4386,4150,4639,4910,4823,1676,2113,2640,3158,2262,1761
ENPP4,307,277,318,296,296,301,230,351,131,216,416,302
SEMA3F,1671,1616,1596,1186,1495,1358,5615,5401,1895,2839,10119,8568
CFTR,11,44,20,85,15,61,0,90,84,30,91,6
ANKIB1,2454,2988,2963,2502,2278,2807,3680,4399,3085,2447,3581,3702
CYP51A1,6970,7395,5576,8301,7617,7860,7017,6502,8256,7029,4898,3722
KRIT1,1507,1770,1463,1740,1537,1530,1243,1685,1228,1503,1965,1616
RAD52,365,427,313,332,332,352,206,425,314,412,426,455
BAD,596,557,568,588,668,586,1285,1560,1307,1595,1538,1516
LAP3,3074,2823,2453,3036,3430,3219,2431,2906,2781,2670,2109,1616
CD99,2091,1948,2495,2092,2421,2065,16236,20003,13304,9096,15675,16558
HS3ST1,17,25,25,57,17,63,586,476,530,2497,1613,948
AOC1,6,7,8,7,4,4,0,1,0,0,2,10
WNT16,2,1,7,6,2,4,0,1,5,3,0,0
HECW1,201,148,240,215,279,238,71,118,179,179,76,28
MAD1L1,1140,1114,1104,923,1159,1000,829,1107,1250,1510,922,770
LASP1,12296,11606,10742,10531,12260,12399,15686,21160,30088,22575,14309,14243
SNX11,960,986,1046,1021,1156,1096,1045,1312,1062,1014,1003,938
TMEM176A,12,15,8,17,5,6,0,5,0,4,53,37
M6PR,5294,4985,4419,4974,6028,5825,5749,5567,5584,5331,5038,4570
KLHL13,705,664,798,666,528,453,21,46,206,442,86,54
CYP26B1,10,12,12,3,9,5,13,9,38,94,16,1
ICA1,968,849,1073,947,988,925,166,158,85,92,335,233
DBNDD1,2400,2456,2207,2381,2401,2260,315,298,326,182,639,595
ALS2,2828,2785,2896,2551,2500,3055,4342,4680,5030,4533,4725,3993
CASP10,279,222,320,156,173,150,94,63,38,128,58,72
CFLAR,642,851,791,786,757,804,4058,3959,4066,2365,2616,2344
TFPI,360,429,315,267,423,571,13548,11538,7092,8228,8363,7736
NDUFAF7,2428,2542,2837,3069,2431,2552,1086,919,897,982,1010,1125
RBM5,3824,4114,4406,4610,4097,4249,6276,8366,6299,9272,10843,9726
MTMR7,343,339,372,384,262,293,42,123,34,42,21,80
SLC7A2,1777,1808,1720,1587,1208,1537,402,918,791,1130,346,441
ARF5,4354,4349,4479,4731,5049,4500,3385,4597,3744,5067,4716,4548
SARM1,1056,1098,1037,1302,677,627,851,1061,1738,1947,1188,1119
POLDIP2,4852,4744,4269,4754,5556,5215,3376,4122,4218,3612,3502,3389
PLXND1,2156,2246,2857,1098,2588,2610,12655,12669,20284,9569,21066,17451
AK2,5518,5660,5559,6018,5481,5525,4406,5211,4705,5061,4339,4003
CD38,51,33,38,49,35,46,36,31,24,46,45,18
FKBP4,16207,15443,14999,15549,14151,13901,4503,5842,5631,6371,4399,3869
KDM1A,18473,16927,19280,18643,19579,17589,7044,8949,11481,13190,9290,7940
RBM6,5350,5215,5647,5123,6521,5229,3011,3750,4054,6051,5049,4305
CAMKK1,359,325,418,331,333,339,533,765,699,425,937,1019
RECQL,2838,2829,2733,2804,3048,3164,4125,4651,3396,2644,3589,3212
VPS50,514,533,571,517,555,549,1227,1205,879,1099,1231,1144
HSPB6,13,9,3,5,9,9,13,7,6,3,7,14
ARHGAP33,1022,1400,1262,1194,1344,1232,510,814,1109,1692,1349,964
NDUFAB1,3051,3266,3004,3423,2305,1855,2767,2595,2490,2716,1137,1066
PDK4,7,4,1,8,2,0,33,81,8,15,67,58
SLC22A16,18,12,8,16,37,15,21,11,28,20,27,14
ZMYND10,46,22,25,23,33,20,35,63,62,134,86,102
ABCB5,2,11,7,16,13,13,6,16,10,16,16,14
ARX,0,0,0,3,3,1,0,1,3,23,0,0
SLC25A13,5631,5515,5162,5560,6104,5729,3223,3607,2931,3963,2877,2485
ST7,925,852,697,906,895,937,1359,1305,4078,1866,1151,1303
CDC27,3477,3488,4041,3461,3849,3723,6139,6322,5009,4245,5347,5084
SLC4A1,28,43,42,38,27,42,4,10,24,25,35,25
CALCR,68,63,85,20,117,123,55,62,148,5,24,49
HCCS,1409,1479,1335,1594,1764,1730,1501,1532,1341,1186,1179,1220
DVL2,2491,2277,2527,2389,2299,2754,1790,2783,2613,3568,2791,2361
PRSS22,13,5,0,12,11,10,18,4,3,0,9,0
UPF1,6079,6601,5595,5643,5656,5747,3753,4753,4918,4374,4450,4101
SKAP2,377,270,421,245,323,340,678,895,245,275,626,668
SLC25A5,17834,16651,16075,16501,22622,20106,8712,9264,7466,9282,7924,6886
MCUB,696,601,440,639,827,773,1116,1334,415,317,1497,1129
HOXA11,0,0,0,1,0,0,0,0,0,0,1,0
POLR2J,1237,1209,1159,1236,1766,1435,1055,1351,1006,1368,1328,1101
DHX33,7442,7692,7247,7211,5781,7841,1647,1909,3024,2370,1883,1537
MEOX1,0,6,0,2,2,4,47,59,244,464,47,53
THSD7A,45,104,62,84,63,73,58,113,212,662,430,415
LIG3,6605,6615,5855,6588,6196,6461,1658,1754,2862,3575,2016,1709
RPAP3,2768,2672,2653,2939,2960,2913,1950,2182,2155,2410,2001,1823
ACSM3,120,78,154,94,79,71,125,122,508,120,134,180
REXO5,385,317,318,302,351,344,150,285,220,306,292,260
CIAPIN1,4219,3940,3883,4086,5004,4539,3261,3443,3551,3490,3060,2494
SPPL2B,1603,1953,1862,1745,1680,1722,1060,1337,1890,2352,2237,1884
FAM214B,338,368,328,349,397,403,3169,3743,3196,2447,3103,3349
COPZ2,7,4,8,10,6,5,252,255,186,209,250,256
PRKAR2B,1871,1797,1871,1930,1591,1919,535,858,497,854,1039,1019
MSL3,737,727,646,862,787,850,1439,1514,1483,1329,1544,1215
CREBBP,6388,6441,5044,7370,4651,6552,3918,6192,5603,6695,6630,4283
TSPOAP1,285,337,341,358,282,266,258,619,108,349,1583,1797
MPO,5,5,0,2,0,1,0,0,0,0,0,0
PON1,40,31,33,34,28,27,53,98,0,0,11,30
GCFC2,895,853,826,911,1122,939,598,734,809,1263,1100,768
WDR54,908,934,1094,1020,1145,877,983,1035,858,1393,1036,877
CROT,194,194,237,195,212,166,470,605,464,704,665,566
ABCB4,47,45,132,37,61,56,22,18,28,109,269,118
KMT2E,2237,2335,2342,1940,1222,1901,3032,4145,3334,4326,3628,3869
RHBDD2,1156,952,1166,1069,1475,1310,2247,2195,1884,3652,3153,2764
SOX8,459,491,523,316,433,361,110,210,748,483,709,544
ZNF195,3392,3297,3421,4121,3449,3537,1203,1428,2363,2271,1680,1194
MYCBP2,2980,2968,3129,2939,2690,3083,3760,3831,3584,4224,3850,3241
FBXL3,545,596,492,662,699,787,1623,1903,1692,1299,1638,1390
ITGAL,20,21,34,33,31,30,26,24,22,20,53,71
PDK2,818,672,780,617,725,757,1394,1691,978,1552,2456,2118
ITGA3,1139,1101,1003,1024,1379,1580,35977,33083,16828,3742,22571,23394
ZFX,1710,1680,1523,1893,1483,1733,2350,2741,2469,2246,2676,2410
LAMP2,1880,1957,2137,2257,1974,1991,8949,8588,6536,6084,5923,6044
ITGA2B,309,146,429,285,190,273,48,41,23,79,104,97
ASB4,1,9,5,9,8,7,21,43,41,46,38,67
GDE1,2886,2800,2981,2865,3348,2947,5450,5629,2958,3650,4200,4604
REX1BD,673,859,967,954,1074,864,765,828,876,952,721,772
CRLF1,430,358,286,141,547,519,156,165,99,117,1725,1029
OSBPL7,277,390,304,306,310,245,641,810,820,543,837,529
TMEM98,3674,3600,3178,3630,4575,4268,2986,3430,3569,4738,4190,4164
YBX2,1039,849,1168,1069,1065,868,71,61,80,206,265,122
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,347,362,340,328,308,307,592,691,1072,831,549,456
ABCC8,133,72,120,161,101,96,0,0,10,21,0,0
CACNG3,0,0,0,2,1,0,0,0,0,1,0,0
TMEM132A,3025,3172,3036,3110,3777,3163,4338,6304,6772,9220,7163,6732
AP2B1,15068,14653,15788,13707,13769,15348,29115,30973,21691,17317,21425,21555
TAC1,30,21,71,37,18,22,2,1,465,2514,2,0
ZNF263,1633,1574,1539,1892,1667,1586,1208,1380,1586,1817,1683,1363
CX3CL1,180,177,205,160,258,277,1155,1167,660,950,730,1013
SPATA20,941,998,948,937,1259,1196,2654,2799,1489,1736,3077,3221
CACNA1G,396,413,407,477,239,189,11,44,67,753,23,41
TNFRSF12A,1161,1296,1561,994,1476,1322,6098,5568,6076,2232,3853,4123
DLX6,1,0,0,3,0,0,0,1,5,17,0,0
MAP3K9,1814,1888,2309,1847,1043,1421,1130,1306,962,1069,1265,1046
RALA,4845,4627,5245,4591,4824,4804,2719,3766,3771,2882,2488,2310
BAIAP2L1,1923,1970,2631,1844,1997,1832,2526,2074,381,471,2013,2086
KDM7A,993,836,1127,888,706,933,462,448,1193,725,594,574
ETV1,5487,5640,5166,5332,4965,6286,3364,6136,1100,2361,3395,2550
AGK,1550,1594,1602,1525,1639,1951,1515,1626,1675,1430,1527,1344
ALDH3B1,58,55,52,40,26,60,249,260,141,167,269,397
TTC22,41,28,56,60,49,42,4,19,11,9,18,8
PHTF2,1174,1408,1190,1098,1283,1366,2241,2838,1738,1524,2412,2057
CCL26,134,102,162,70,160,168,9,0,0,0,1,0
FARP2,1583,1446,1518,1278,872,1300,1790,2247,2646,2191,1700,1505
USH1C,41,53,121,45,18,32,4,0,0,4,6,0
GGCT,4036,3836,4070,4475,4520,3799,898,992,1255,1933,1137,802
DBF4,3525,3626,3297,4052,3704,3514,1065,1385,1516,2055,1312,764
TBXA2R,101,99,70,93,89,86,138,178,66,52,157,146
IFRD1,2700,2753,2848,3277,2427,2444,2761,2500,4799,4922,2966,2654
LGALS14,0,0,5,1,3,4,0,0,1,0,0,0
COX10,1131,1231,995,1167,1155,1168,642,676,732,615,664,580
GTF2IRD1,1486,1509,1797,2005,2248,1683,1210,1458,1136,2029,2131,2383
PAF1,2070,2121,1733,2280,2611,2225,2378,3189,2315,2771,3223,3149
VPS41,2497,2323,2335,2557,1889,2331,3897,4489,2997,3538,5060,4136
ARHGAP44,811,836,1120,775,948,861,44,76,168,289,137,144
ELAC2,6635,6960,5292,6145,6554,7229,3418,3714,4573,3685,3352,2917
SCIN,111,94,104,189,100,79,31,47,45,77,116,73
ARSD,282,334,446,428,349,480,2401,2758,1156,1043,2671,2775
PNPLA4,555,549,555,638,636,577,462,592,434,546,501,510
MYH13,0,0,1,0,0,1,1,0,0,0,0,0
ADIPOR2,3502,3599,3240,3416,3419,3588,4169,4594,4001,3719,4196,3786
CDKL3,64,39,90,40,64,41,82,104,103,171,114,67
UPP2,113,105,143,134,106,97,0,0,0,4,2,0
MARK4,2066,2123,2505,1883,1553,1965,2802,3429,2938,2640,3616,3397
PROM1,4926,5226,5234,5484,4731,4844,203,111,1385,1207,26,43
CCDC124,2343,2416,2698,2399,3188,2606,1851,2512,2551,2458,1733,1790
CEACAM21,0,0,2,9,3,8,13,20,259,680,81,54
PAFAH1B1,7557,7484,8226,7175,6658,7900,10556,12647,11586,9524,10825,10234
NOS2,169,169,186,122,166,175,9,12,29,169,14,19
DNAH9,53,57,51,32,32,42,31,24,76,151,22,84
KIAA0100,10104,10348,9657,9760,9620,10834,9455,10606,9836,10668,11004,7998
SLC13A2,0,1,0,0,0,0,0,1,0,0,0,0
GAS7,565,473,617,347,421,436,465,391,520,784,1985,1271
TRAPPC6A,665,716,829,854,754,555,282,275,278,440,617,623
MATK,522,423,671,510,352,259,0,7,21,17,18,3
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,68,72,77,31,113,73,18,28,37,44,21,46
SCN4A,542,612,800,676,297,600,55,64,13,85,106,101
ST7L,543,523,518,633,596,549,542,480,591,580,616,534
TKTL1,1,1,5,12,13,4,25,30,4,59,46,22
PAX6,1,3,1,0,3,4,3986,5316,751,1814,17345,11870
RPUSD1,1570,1589,1239,1587,1818,1540,693,763,995,806,708,586
RHBDF1,1068,1136,891,781,1202,1175,2238,2178,2025,1798,2532,2345
LUC7L,3863,3600,3161,4360,4703,3724,2080,2606,2977,4028,4089,3455
CACNA2D2,1506,1590,1747,1584,1582,1600,85,111,447,1762,535,353
BAIAP3,200,270,303,221,271,234,167,337,190,590,479,423
TSR3,1469,1584,1504,1613,1967,1672,1534,1742,1548,1749,1597,1527
PIGQ,1365,1342,1544,1419,1596,1370,1273,1776,1818,2540,3289,2860
CRAMP1,1792,1811,1773,1712,1317,1651,1307,1773,2013,2093,2383,1832
TEAD3,1400,1582,1614,1305,1379,1448,3037,3922,4279,3645,3821,3456
SELE,0,0,0,0,0,0,0,0,2,0,2,0
DNAJC11,5899,5771,5287,6736,6425,6223,2918,4099,4242,3689,3235,2897
FMO3,12,7,7,7,5,1,3,7,11,16,7,11
MYLIP,1226,1147,1305,1403,995,953,1150,1441,549,2074,2045,1905
NOX1,0,0,0,0,0,0,0,0,0,2,0,1
PSMB1,8281,8060,7954,8627,10860,8759,8556,8553,6969,8051,7136,6856
SYN1,565,565,514,471,574,578,207,206,214,166,252,262
JARID2,17423,17503,18291,19641,14264,16364,1580,2403,2174,4341,3947,2537
CDKL5,1288,1122,1205,1180,744,1145,1175,1300,1283,1102,1230,1078
CAMK1G,31,54,72,56,27,24,245,343,42,79,215,361
CDK11A,554,546,604,716,727,613,425,559,632,729,728,527
NADK,3212,2912,3147,2750,3048,3221,3148,3171,4012,3542,3509,2947
TFAP2B,0,0,0,0,0,0,1,132,638,1551,24,15
TFAP2D,0,0,0,0,0,0,0,0,0,0,2,0
DLEC1,35,37,49,22,68,55,34,13,5,27,28,23
CYTH3,901,890,961,909,764,793,1524,1745,2561,2882,2129,1565
ADAM22,1256,1377,1303,1288,928,1198,50,146,211,453,207,258
SYPL1,3200,2832,2787,2830,2867,2985,4102,3956,3023,2630,3807,3355
CYB561,1298,1363,999,1239,820,829,300,449,395,804,277,271
SPAG9,3345,3187,3534,4259,2853,4198,7701,9902,7276,7380,9067,7786
CELSR3,2381,2465,3070,2942,1954,1699,1102,1615,2074,2069,2182,2123
AASS,11575,12150,18300,17934,8116,11101,1206,1495,1161,2718,1666,1310
PLEKHG6,702,770,733,690,914,732,9,18,26,30,64,61
SS18L2,1726,1769,1482,2157,2088,1704,521,536,463,656,536,562
MPND,698,738,820,799,913,810,436,669,473,914,739,748
MGST1,10335,9754,10076,11298,10135,9162,2278,2563,3640,3126,1831,1770
CRY1,1584,1665,1546,1404,1665,1561,1076,1429,1799,1730,1024,919
PGLYRP1,1,1,0,1,0,0,0,0,0,0,0,1
NFIX,13,6,12,11,6,13,15,11,23,7,8,0
ST3GAL1,513,509,410,374,399,399,1342,1162,2166,1250,1559,981
MMP25,1188,1250,1779,1238,982,717,13,30,577,445,12,14
IL32,19,16,20,9,38,28,575,655,900,258,137,209
PKD1,2222,2496,2747,2682,2233,2273,3553,4513,7660,7369,4997,3971
MAPK8IP2,477,548,375,562,408,383,161,272,305,590,113,97
MED24,4491,4547,4096,5169,5249,5218,3490,4693,4387,4832,5644,4145
RHOBTB2,851,800,601,802,880,904,1041,1768,1442,1759,1910,1417
HEATR5B,1506,1404,1164,1274,1177,1358,1880,2049,1579,1715,1858,1616
SEC62,4270,4042,3529,4589,4238,4712,5237,5478,4579,4246,4834,4733
RPS20,32546,31525,31405,35034,43503,33992,22775,22479,18352,23513,21802,21673
CSDE1,35558,37607,37327,38062,34789,37562,27222,31822,26516,28867,26926,26695
UBE3C,4834,4857,5369,4806,5152,5540,5878,6969,6658,4607,5544,4431
REV3L,1041,1291,1187,1380,1008,1118,2359,3274,1729,2166,2829,2594
TENM1,127,137,243,126,102,138,29,21,130,544,33,24
PAX7,5,5,6,2,11,6,0,0,12,80,0,0
MASP2,25,42,28,33,36,30,2,5,5,7,4,3
IYD,26,34,32,22,23,12,32,23,40,38,38,6
FAM76A,480,434,450,519,421,440,264,345,377,420,265,221
TRAF3IP3,1,4,0,1,2,0,3,10,5,0,3,2
POMT2,1638,1708,1348,1606,1583,1686,2077,2720,3690,3663,1747,1634
VTA1,3549,3535,3385,3532,3906,3881,3499,3640,2966,2400,2886,2642
MLXIPL,185,173,260,258,146,123,12,30,21,105,60,63
BAZ1B,8592,8642,7466,8406,6711,7907,5647,7984,9514,10104,7459,5648
RANBP9,2111,1910,2139,1973,2254,2022,3002,3384,2936,3040,3321,2457
ETV7,14,17,11,12,21,25,13,13,6,5,5,3
SPRTN,544,502,527,588,532,702,667,794,693,708,707,688
EEF1AKNMT,4084,4102,3329,4046,4497,4132,1209,1592,1759,1668,1026,1114
DYRK4,169,194,169,206,283,224,904,936,712,811,885,840
ZNF207,16305,16449,15248,18132,16061,16309,8343,10301,10183,11002,9237,8113
UQCRC1,8019,7641,7383,7928,9866,8485,5837,7289,6636,6628,6371,6043
STARD3NL,1626,1598,1535,1450,1941,1859,3936,3586,3515,3084,2944,2861
CD9,4513,4374,4716,4551,4803,4360,541,592,77,34,105,129
HHATL,6,0,2,8,6,4,1,0,1,2,3,0
NCAPD2,11861,11612,11967,11198,11414,12093,4171,6989,4831,8996,7278,4566
IFFO1,539,564,526,423,521,485,967,1081,1017,1030,1218,1071
GIPR,22,16,42,25,15,37,265,430,141,388,921,1106
PHF7,197,178,270,185,222,233,122,208,161,195,283,190
SEMA3G,149,184,290,173,170,259,50,48,8,39,86,100
NISCH,4638,5063,4544,5214,4716,4909,6478,7867,7003,7712,8267,8198
STAB1,9,30,11,19,10,6,10,9,12,1,61,29
FUZ,786,812,697,748,1136,922,305,502,329,625,628,543
SLC6A13,4,1,0,0,1,4,12,12,17,11,16,15
IDS,2341,2259,2806,2030,2200,2432,16867,16921,11745,7091,12129,12532
PRSS3,1,1,0,0,1,0,0,1,0,0,0,2
ZNF200,645,644,536,626,699,751,556,654,663,769,724,522
CD4,172,160,227,163,145,140,84,82,66,258,150,137
LRRC23,50,50,67,38,39,44,195,223,166,215,338,296
BTK,24,38,19,25,18,15,0,2,7,23,5,0
HFE,89,55,130,114,85,88,691,957,171,227,661,719
SCMH1,1089,1140,1089,1045,1359,1324,1592,2610,1288,2216,2486,1907
FYN,2881,2843,2943,3263,2337,2697,3508,4093,5363,5685,4280,3706
HIVEP2,482,417,573,324,316,372,2741,3773,2117,1058,2542,2497
FMO1,4,8,6,0,0,0,0,3,3,22,0,1
ELOA,5339,5214,4450,5576,4946,5837,2976,3677,4323,3248,2780,2615
LYPLA2,6329,6087,5964,6018,6898,6226,2664,3115,2630,2902,3081,3022
CLCN6,1498,1742,1456,1823,1460,1577,1555,1752,1856,1977,1703,1335
MRC2,884,736,1176,776,1011,902,8906,12886,17950,13548,12252,15244
NME1-NME2,4808,4785,4317,5642,5833,5141,3109,3160,3626,3777,1748,1929
SLC6A7,8,1,1,1,1,0,0,1,0,0,1,0
TSPAN9,1743,1855,1811,1385,2078,1914,3738,4107,4840,4324,4824,4782
APBA3,690,620,544,637,682,547,428,603,538,519,579,476
MKS1,764,702,751,895,863,730,655,764,771,1041,923,635
ABHD5,737,728,475,734,711,637,1045,628,690,382,381,407
ANOS1,11890,12633,13274,14849,8309,9018,98,91,702,1252,128,91
AKAP8L,3129,3249,3725,3311,3266,3192,2335,3094,3157,3797,4055,3456
MBTD1,4343,4306,4474,4530,3765,3885,1036,1387,1421,2291,2054,1560
UTP18,4053,4251,3680,4354,4981,4030,1381,1484,2144,2417,1698,1318
RNF216,2824,2744,2717,2750,2494,2705,3456,3985,4385,3414,3647,3220
TTC19,3406,3472,3554,3496,3966,3571,2006,2105,2571,2586,2226,1908
PTBP1,28737,31488,28151,28827,25791,28804,13348,15038,16479,18642,12333,10007
DPF1,590,656,375,757,692,776,152,279,401,533,227,157
SYT7,881,791,1239,769,586,684,72,210,84,259,323,419
LARS2,4309,4159,3758,4152,4055,4100,1661,2098,1816,2094,1816,1558
PIK3C2A,6877,7517,7643,7258,5043,6962,4336,5582,4322,4841,5409,4876
PLAUR,647,584,721,610,729,656,4970,4381,4464,1069,1258,1486
ANLN,6324,5741,5507,5183,6240,7308,4809,7026,4927,5058,5728,3647
WIZ,2961,3231,2966,3154,3167,3292,2856,3660,3957,4257,3627,3185
RABGAP1,1825,1718,2105,1854,1467,1644,3514,4340,3044,4116,5481,4591
DCN,21,32,38,33,14,22,13,25,258,994,26,28
QPCTL,787,855,957,798,906,920,693,661,758,865,570,732
PPP5C,5435,5429,5139,5803,6217,6179,3103,3926,3951,4442,3984,3268
CEP68,2169,2078,2374,2592,2004,2110,777,1014,1193,1741,1278,1076
MAP4K3,3367,3556,3206,3577,2734,2966,2547,2782,3221,4184,3112,2931
ZBTB32,6,6,9,11,5,2,0,0,0,0,0,10
TYROBP,0,2,1,0,0,1,0,0,0,1,1,1
TMEM159,735,754,753,804,746,716,868,856,588,679,753,795
GABRA3,546,447,371,550,443,385,10,2,24,137,5,6
BRCA1,2673,2571,2239,2526,2089,2938,568,1286,1057,2361,1521,907
ERCC1,1587,1576,1723,1853,1956,1652,3326,3601,3433,3574,4013,3810
CD22,18,35,22,28,21,23,8,8,9,34,39,18
SEMA3B,97,121,133,137,130,101,266,521,101,270,852,932
MBTPS2,611,633,766,685,750,828,2188,2306,2116,1817,1765,1620
PRICKLE3,195,245,280,185,170,169,362,353,222,88,337,361
LTF,0,2,0,2,0,3,0,0,0,0,0,0
EXTL3,7170,7040,6213,5420,7820,7649,7162,9372,7122,8691,9220,7853
NR1H4,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL5,8592,8181,8707,8518,7364,7528,5902,6437,5128,7332,6483,5911
ALOX5,10,23,5,0,22,24,16,9,9,0,29,34
KDM5D,17,20,16,20,25,27,9,11,21,16,23,8
CALCOCO1,543,503,651,560,606,575,2862,3174,1418,1922,4382,3835
UBR7,72,109,150,0,51,160,54,49,17,20,0,16
MAP4K5,2313,2550,2198,2305,2077,2314,3728,3908,4440,3967,4434,3616
EHD3,1124,1132,1097,996,1023,1078,1280,1508,1862,1240,1045,991
MAN2B2,316,311,355,303,287,282,3968,4727,1905,1467,3169,4140
SLC7A14,115,116,107,63,134,116,47,61,103,126,94,130
CLDN11,108,131,113,103,117,107,34,75,42,152,39,41
SLC25A39,9295,8875,9026,9704,10226,8890,3511,4089,4322,4910,3894,3613
MVP,140,135,189,215,168,187,7311,8609,1513,478,4048,4890
NUB1,2312,2346,2222,2275,2491,2484,2739,2804,2364,2371,2899,2697
PGM3,2920,2715,3137,2860,2736,2957,4794,4685,4991,3980,3780,4323
RWDD2A,327,282,381,297,308,305,603,584,367,562,688,608
CLK1,721,788,787,1252,994,984,1558,1906,1279,1978,1953,1616
POLR3B,1483,1450,1053,1562,1708,1766,600,772,768,950,501,444
ANGEL1,2064,1932,1808,1733,1482,1877,1051,1417,1203,1811,1780,1518
RNF14,1154,1084,862,751,1017,1246,3973,3593,3447,2208,2393,2317
DNASE1L1,506,536,532,512,565,466,1527,1559,825,766,1619,1744
DDX11,6443,6620,5915,6616,6841,7096,1114,1698,2534,4517,3305,2097
HEBP1,1041,1194,1585,1301,980,862,924,1155,892,1219,1094,1087
GPRC5A,24,34,38,22,23,36,921,1888,260,96,279,1015
MAMLD1,21,21,17,21,41,42,656,751,913,576,612,467
CD6,24,20,35,15,22,22,29,34,38,28,39,46
TACC3,10030,10100,9890,10879,11950,10569,2299,4153,3575,6481,3895,2300
UFL1,1106,1142,1188,1173,1336,1371,2634,3178,1720,1882,2970,2533
POLA2,2901,2758,2593,3010,3800,3107,764,1510,1737,2838,1515,931
ZC3H3,1134,1192,1194,1181,1214,1217,743,866,981,920,889,913
CAPN1,7170,7124,5471,7323,7719,7410,7495,9114,4189,4178,6402,6463
ACP3,64,60,102,69,85,72,8,11,16,12,12,11
MDH1,10341,9844,11168,11703,10405,9260,7922,6917,4833,6123,5753,6684
SLC30A9,4863,4834,4960,5080,5410,5147,4351,4589,3749,4261,4652,3893
MTMR11,104,151,113,100,154,210,953,1175,346,455,965,977
COX15,2014,1883,1905,1830,1992,1941,1540,1829,1419,1757,2084,1964
CCDC88C,2970,3146,2988,2687,2527,2751,889,1427,974,2266,1403,1022
YAF2,79,84,51,73,78,113,843,806,651,742,833,980
ZMYND11,2217,2117,1956,2165,1769,2234,4275,5204,4293,3443,4972,4244
WAS,38,28,46,34,39,30,30,30,35,15,32,21
DPEP1,108,122,214,85,242,152,14,30,4,15,22,65
BID,1510,1598,1565,1564,1505,1387,876,826,701,669,659,635
MATR3,32326,31286,30733,35899,31920,30991,13457,17271,16857,23063,16558,13523
NPC1L1,14,14,19,20,13,17,26,14,6,13,7,17
XYLT2,1647,1651,1610,1430,1894,1762,2264,2649,2442,2012,2215,2022
RGPD5,196,247,231,197,126,311,207,270,368,341,378,487
STMN4,3,4,2,5,11,4,4,4,19,57,2,1
NUDCD3,3154,3179,3142,2780,3142,3348,4049,4677,3843,3394,3739,3920
ISL1,5,4,3,3,4,6,13,48,13,41,15,37
CHDH,994,1018,976,990,960,995,52,117,117,307,174,122
IL20RA,83,121,118,90,79,83,2,10,0,5,1,5
CLCA1,0,0,0,0,0,0,0,0,2,0,0,0
CLCA4,0,0,2,0,0,0,0,0,0,0,0,0
GLT8D1,1283,1161,1418,1287,1464,1130,4044,3722,3267,2987,3416,3179
ATP2C1,5669,5563,5418,5109,5433,5375,6492,6141,5175,4746,5486,4945
IGF1,6,14,13,11,0,12,26,38,64,14,72,189
SLC38A5,2047,1989,1704,2105,2461,1928,23,13,25,34,10,24
RALBP1,4424,4313,4423,3924,4479,4455,4378,5440,3905,3600,4606,4346
RUFY3,1356,1329,1423,1239,1096,1084,1857,2595,2978,4143,3747,2544
CNTN1,371,471,611,569,311,338,278,432,77,67,199,254
SLC11A1,40,30,35,70,42,47,31,27,31,36,33,33
WWTR1,909,1048,973,943,910,1284,13021,11388,6522,2997,6722,6777
AGPS,5236,5454,5258,4913,4150,5416,3370,4244,2991,2493,2869,2535
ZNF806,0,2,1,0,2,2,0,1,2,0,2,1
CXorf56,1450,1424,1402,1564,1543,1583,831,1047,934,1057,1044,894
ATP1A2,3413,3392,5010,3562,2498,2546,27,327,235,4230,365,580
TTC27,1851,1831,1673,1841,2166,2004,1213,1216,1205,1024,814,812
ZNF582,86,85,67,137,99,84,75,92,63,137,96,173
VSIG2,8,5,12,19,1,0,8,9,4,2,9,16
PHLDB1,3372,3754,3576,4065,3862,3852,3929,4688,5799,5715,5275,4609
MARCO,0,0,0,0,0,0,0,1,0,3,0,8
CYP24A1,8,5,1,7,1,0,0,8,1,1,0,0
PRDM11,682,736,718,777,531,731,606,795,578,957,1309,1078
SYT13,971,910,1177,843,725,739,13,5,37,297,28,17
SNAI2,18,24,18,18,22,23,1959,1673,5270,3327,866,1059
CD74,1007,936,1750,1133,662,553,192,311,101,292,351,281
