gene_name,H9_WT_B1,H9_WT_B2,H9_KO_UGP2_B1,H9_KO_UGP2_B2,H9_KI_B1,H9_KI_B2,NSC_WT_B1,NSC_WT_B2,NSC_KO_UGP2_B1,NSC_KO_UGP2_B2,NSC_KI_B1,NSC_KI_B2
EMC9,678,659,588,792,807,701,345,412,284,505,398,403
PSME2,2333,2318,2289,2352,3148,2519,3296,3471,2336,2596,2706,2219
BRMS1L,704,700,683,697,646,686,777,940,786,833,969,748
REC8,1225,1207,953,1059,1432,1276,1237,1676,250,882,1618,1650
TM9SF1,426,533,370,387,516,440,1338,1683,1515,1052,1425,1134
SEC23A,3089,3111,3223,2726,2753,3263,14630,13722,9541,7217,10486,10668
GMPR2,2957,2965,3095,3033,3606,3319,2132,2210,1555,2049,2513,2225
PNN,14458,15709,16409,17641,14252,15549,4983,5860,8018,9911,7844,6427
RABGGTA,546,580,532,390,658,578,993,947,962,770,1004,1041
NFATC4,949,1008,1246,1148,1312,1051,1546,2252,2358,3889,3196,2529
PLTP,3889,3702,4313,3962,3397,2924,2597,3220,4440,7430,3033,3103
PCIF1,1175,1014,1402,1225,1380,1247,1044,1345,1069,1598,1583,1146
GSS,1452,1401,1490,1470,1877,1763,2557,2825,2127,1937,2351,2287
MMP9,159,171,189,60,360,370,366,724,595,58,136,140
VSX1,1,2,4,1,0,4,0,0,1,7,2,0
TRPC4AP,5086,5142,4491,4985,5602,5345,6681,6838,5961,6152,6666,6736
PYGB,4228,3998,3817,3904,4242,4172,12460,11457,13313,6298,10255,10607
ABHD12,2125,2081,2130,2373,2355,2076,2459,2619,2989,2152,2523,2555
PROCR,469,400,507,410,519,493,1426,1013,335,210,406,658
GINS1,4157,4196,4036,4570,4991,4802,532,1121,1094,2309,1466,950
NINL,2428,2819,3493,3891,2431,2282,1270,1552,1390,2431,2256,2142
CD40,678,657,653,499,668,633,1345,1229,404,331,1249,1156
UQCC1,2148,2076,2251,1963,2115,2271,2511,2755,1996,1918,2603,2366
ZMYND8,10026,9839,10109,10324,9449,10899,5039,5578,4716,5561,5886,4981
SGK2,3,9,9,7,2,4,107,114,16,59,190,214
IFT52,1521,1496,1489,1639,1804,1610,1546,1704,1630,2479,1706,1680
MYBL2,11516,11292,10455,11510,13630,12429,1501,3358,3414,6301,3251,1791
R3HDML,1,1,2,2,2,0,5,6,1,4,2,26
HNF4A,3,11,0,1,2,2,4,6,5,0,3,0
NDRG3,1946,1892,2064,1900,1820,1778,2258,2775,1880,2457,2374,2070
SLA2,14,16,20,27,25,20,3,1,8,10,9,13
RAB5IF,1894,2039,1867,1983,2809,2198,1774,2156,1898,1673,1808,1420
NFATC2,59,64,63,41,54,66,1010,855,1177,271,485,491
RIMS4,2607,2376,3230,2762,1132,1030,5,11,97,404,23,11
PABPC1L,1410,1560,1538,1453,1312,1444,987,1299,1179,1306,1856,1307
STK4,3110,3287,3118,2842,2460,2951,2683,3101,2505,2692,3196,2549
SALL4,9100,9216,9888,11138,8244,9719,156,292,962,2294,702,524
ADNP,8955,9141,8673,9826,8646,10028,5209,6806,6720,9182,7657,6051
PFDN4,1841,1603,2082,1878,2028,1824,828,1060,908,870,698,873
DOK5,235,230,462,286,171,154,10,10,187,208,6,15
CSTF1,2858,2801,2659,3142,3222,2960,1501,1702,1393,1551,1636,1443
BMP7,677,543,619,559,1076,1100,1309,3396,1946,7858,1236,1107
RAE1,2683,2706,2500,3010,3135,2860,2315,2553,2849,2933,2344,2162
TPD52L2,5567,5304,5109,5750,5909,5800,6979,7700,8242,5710,6111,5651
DNAJC5,3819,3580,3607,3358,3387,3405,4534,5226,5055,4665,4854,4471
NELFCD,3149,3137,2566,3347,3405,3287,2584,3220,2986,3922,3305,3153
CTSZ,1292,1270,1210,1141,1452,1274,7094,8810,2364,844,6666,6967
PRPF6,5711,5429,5106,5919,6577,6104,3233,4155,3650,4435,4324,3775
TUBB1,0,0,0,1,0,0,1,4,2,0,6,3
PRELID3B,2252,2251,2251,1954,2409,2644,3827,3498,2549,2093,2794,2870
HRH3,97,103,110,142,47,45,0,0,3,8,2,0
MTG2,859,892,839,758,963,883,853,967,913,888,845,998
PSMA7,8418,8081,8310,8279,10558,8414,6509,7830,7223,7375,5061,4999
SLCO4A1,821,781,693,664,537,495,413,387,35,42,210,209
NTSR1,46,50,37,28,44,31,394,591,89,7,24,74
MRGBP,1273,1255,1285,1134,1703,1422,1185,1429,1196,1221,1306,1069
TCFL5,814,831,877,685,823,736,494,651,526,624,629,589
DIDO1,8267,8323,7115,8062,7039,8411,2493,3687,3414,4007,3569,3144
GID8,5510,5277,4781,5790,5957,5946,2353,3011,3016,3652,3179,2954
SLC17A9,1217,1238,1018,858,1090,1465,44,44,45,11,51,106
BIRC7,3,3,3,0,2,4,43,38,58,17,297,279
NKAIN4,204,199,112,249,187,161,414,271,742,194,2560,1592
ARFGAP1,3635,3623,3225,3821,3605,3879,5445,5662,7594,4453,6556,5969
AVP,2,3,1,2,1,2,0,0,0,0,0,0
COL20A1,6,15,21,14,14,17,3,1,19,4,17,26
CHRNA4,153,47,158,104,69,32,0,6,12,6,4,0
EEF1A2,651,710,1138,710,662,492,848,1238,107,58,1219,1443
PTK6,6,7,6,18,13,13,3,2,10,6,5,10
GMEB2,1324,1369,1311,1570,1486,1480,841,1035,1168,1383,1111,967
C20orf27,3817,3853,3903,3575,4555,3656,1071,1348,1585,1702,848,795
SPEF1,30,20,31,30,26,28,6,11,13,32,7,9
CDC25B,2001,1928,1897,1606,2413,2180,1407,2565,1315,2434,2474,1696
ISM1,26,35,22,45,26,23,8,17,20,74,3,4
RNF24,1454,1382,1170,1456,1246,1278,1076,1158,1615,1479,1107,890
ARFRP1,833,919,738,935,928,831,1427,1592,1414,1038,1212,1235
NDUFAF5,773,739,680,779,933,838,551,543,742,738,655,496
SEL1L2,0,0,3,0,2,2,0,0,0,3,0,0
TRIB3,637,610,753,534,738,625,2556,1509,3730,2875,716,806
RASSF2,799,791,722,620,668,704,276,380,742,1435,415,161
CSNK2A1,13693,13882,14244,14483,12605,14550,9586,11062,10549,10367,9516,8710
SLC52A3,139,107,180,135,126,120,25,4,8,12,13,27
RPS10P5,2,0,1,3,0,1,0,0,0,0,1,0
ANGPT4,22,18,43,22,17,19,4,4,7,13,7,4
RSPO4,433,443,452,501,337,305,10,21,82,51,8,33
CDS2,4133,4573,4243,3741,4015,4503,4023,3976,3788,4145,3588,4185
PROKR2,36,45,60,40,19,38,0,1,2,0,0,0
HM13,7890,7488,7032,8853,9964,8321,10624,9900,12579,11744,9723,9058
SNPH,284,308,311,252,296,318,824,786,419,417,626,599
MYLK2,49,51,33,59,111,85,172,156,836,345,328,223
SIRPB1,21,19,39,16,11,7,62,95,61,29,68,32
SEC23B,4052,4110,3797,3857,4396,4504,3665,3111,3261,3912,3180,3168
FERMT1,1460,1348,1030,1614,1364,1549,210,456,210,39,21,138
HAO1,0,0,0,0,0,0,1,3,6,1,1,2
PDYN,102,99,71,130,82,64,0,1,0,2,0,0
CCM2L,464,456,683,581,455,346,13,9,14,72,37,18
PLCB4,754,771,889,870,631,737,815,814,551,1428,966,948
MYL9,4436,4714,4740,4157,7743,7303,29623,34736,29816,25128,27627,30674
HCK,33,40,97,39,25,31,5,12,4,6,6,10
TM9SF4,6309,6194,7530,6587,6540,6737,11888,12188,9518,8852,11604,11811
TLDC2,17,8,21,18,9,6,11,24,8,16,24,26
CRNKL1,1868,1827,1827,1946,2398,2203,1783,1980,1632,1884,1920,1623
POFUT1,4784,4429,5136,5018,5867,6940,12950,16787,12713,9817,10919,10168
SAMHD1,2802,2877,1908,3197,3133,3042,614,894,425,426,852,572
PAK5,59,55,46,59,46,40,9,10,20,33,5,2
KIF3B,4404,4395,4640,5102,4800,5321,8781,10829,7394,6763,8381,7064
MROH8,46,21,25,36,37,33,51,89,64,234,180,83
NOP56,21053,21185,17323,23496,25701,23354,4664,5201,10270,9619,4680,3883
MANBAL,1736,1683,1718,1788,2154,1886,1935,2176,2078,2181,2053,1927
IDH3B,3478,3596,3296,4125,4220,3596,2437,2951,2629,2824,2829,2829
MAPRE1,10493,10298,10031,11229,12074,11423,9074,10900,9406,10484,8598,7879
JAG1,1439,1352,1550,1901,1076,1594,10678,2847,28616,16443,18957,13253
CDK5RAP1,1991,1720,2041,1871,2341,1862,819,997,1264,1514,1202,1047
SNTA1,256,261,335,318,364,304,635,856,542,656,543,663
OXT,1,0,1,1,0,0,0,0,0,0,0,1
TTI1,4077,3949,3745,3845,4184,3989,1382,1585,1663,2757,2224,1662
E2F1,1969,2085,2245,2588,2652,2390,463,864,1310,1975,1414,852
RPRD1B,1614,1340,1316,1926,1540,1732,2002,1986,1604,2137,2507,2449
PXMP4,210,246,234,215,263,221,349,436,211,305,353,276
CHMP4B,3268,3139,3550,3566,4130,3589,4401,5517,4010,4057,5438,5054
BPI,2,0,1,0,0,0,7,2,31,51,6,8
CST9L,0,0,0,0,0,0,0,0,0,0,0,0
SLC32A1,4,10,2,4,10,8,0,0,0,2,0,0
CST3,649,616,511,482,1032,858,7729,5596,3117,3139,5509,6326
ASIP,2,1,0,0,0,0,1,2,1,2,12,6
CST4,0,0,0,0,2,1,0,0,0,1,7,5
ACTR5,893,868,780,793,1001,900,333,441,466,573,442,316
WFDC2,684,603,905,606,723,587,3,4,14,23,13,1
AHCY,20840,20135,19133,19944,23392,21613,7124,8133,7695,8738,7899,6856
PPP1R16B,1115,1036,1238,648,1641,2003,133,61,124,176,251,89
SPINT3,0,0,0,0,0,0,0,0,0,0,0,0
FAM83D,4054,3964,3678,3977,4368,4153,985,1468,1123,1693,1663,1042
EPPIN,23,33,25,16,23,27,17,40,25,35,77,46
DHX35,1446,1645,1447,2005,1365,1736,524,571,684,1159,747,690
DNTTIP1,1563,1429,1321,1468,1828,1654,1137,1536,1189,1329,1071,1016
MAP1LC3A,90,67,106,95,94,110,904,991,665,531,818,987
SYNDIG1,121,138,153,145,122,89,145,364,224,17,290,307
PIGU,1390,1486,1470,1214,1507,1294,876,923,1080,1573,1005,1019
TNNC2,47,60,67,57,64,41,1,2,1,7,1,15
ACOT8,805,761,711,848,794,750,516,542,396,406,521,541
APMAP,3859,3734,3695,3886,4417,4162,7431,8618,7077,6389,6673,6268
CELF4,44,50,164,57,49,30,10,17,18,21,31,34
ZNF516,771,648,1387,567,782,825,1455,2337,1902,3576,2610,2171
CDH20,9,9,10,7,4,7,3,10,48,269,341,143
ADNP2,4491,4277,4542,4966,4791,5164,1784,2146,2284,2979,2148,1883
RBFA,1226,1211,1061,1235,1368,1336,647,788,851,919,662,532
USP14,7832,8132,7403,8393,7852,8145,7335,8351,8289,6483,5985,5208
VAPA,3909,3783,4238,3982,4442,4322,6110,6186,5162,4655,4885,4558
METTL4,589,680,572,635,657,718,538,588,539,813,573,578
LPIN2,1239,1270,1395,1284,1100,1204,2024,2606,1960,2419,2989,2503
