gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
TSPAN6,326,445,424,177,498,552,667,192,343,249,428,550,152,106,423,312
TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPM1,340,468,501,388,600,578,562,332,506,340,556,686,248,112,617,475
SCYL3,158,190,170,191,202,216,236,129,166,64,193,206,68,78,197,143
C1orf112,154,271,31,66,352,368,41,32,316,295,72,57,115,171,79,59
FGR,3,1,11,40,2,1,10,2,2,0,36,23,6,0,45,27
CFH,1017,1256,1088,829,1498,1342,1296,683,975,672,762,1037,392,392,855,453
FUCA2,2631,2676,2260,2331,2895,2740,2686,1814,3066,2161,2983,3046,1492,1339,3429,2586
GCLC,228,297,724,825,329,191,573,399,322,249,618,734,161,166,914,586
NFYA,613,645,414,177,668,720,470,293,720,233,482,368,142,485,474,346
STPG1,371,376,382,239,468,439,442,274,513,205,512,498,235,382,477,427
NIPAL3,3426,4429,6492,4600,4119,4237,6773,4450,3604,2160,5863,6003,1781,2963,3811,3529
LAS1L,654,705,375,364,756,728,407,264,828,721,512,580,583,437,400,398
ENPP4,17,3,0,0,6,5,3,0,8,17,4,5,0,2,1,0
SEMA3F,516,587,760,615,731,630,773,751,1486,1057,2074,2331,649,1604,2147,2124
CFTR,0,0,16,7,0,0,40,11,0,0,18,8,0,0,13,6
ANKIB1,1455,1244,1491,813,1186,1292,1574,818,1347,994,1793,2111,205,1089,1518,915
CYP51A1,1200,1507,585,386,1563,1572,645,339,1255,1081,619,863,594,768,599,548
KRIT1,372,332,286,48,412,408,252,311,301,172,301,351,301,239,265,159
RAD52,54,80,77,76,92,102,165,98,112,140,103,155,118,105,124,54
BAD,454,564,285,233,672,608,341,279,660,313,445,371,436,237,398,435
LAP3,2523,2953,5014,3510,2446,2496,4848,4353,4112,2934,7691,8656,1906,1768,7926,6210
CD99,11473,11550,13205,9940,12844,12192,13266,10186,12334,7844,15283,15227,8225,5301,16427,13011
HS3ST1,1,0,1,0,1,1,4,0,4,12,2,2,0,2,1,1
AOC1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
WNT16,37,22,3,0,33,33,2,0,9,14,0,0,0,2,0,1
HECW1,157,82,54,7,70,89,46,26,128,230,88,36,39,233,81,56
MAD1L1,422,683,369,414,600,547,460,545,769,740,462,532,674,603,649,506
LASP1,16036,18193,12757,10479,18743,18061,13957,9354,19716,12255,14490,14754,5496,12486,12001,11446
SNX11,351,471,347,302,484,441,371,264,554,435,492,589,189,351,384,378
TMEM176A,4,1,4,0,3,7,2,2,5,26,18,32,14,5,18,19
M6PR,2250,2373,3943,3833,2266,2399,4262,3120,2785,2195,4894,4757,1750,1492,5465,4661
KLHL13,0,1,5,7,3,10,2,65,11,11,6,13,0,4,3,3
CYP26B1,268,330,1772,1890,408,423,1993,1337,212,132,1524,1654,76,450,1803,1290
ICA1,0,3,2,0,3,0,1,0,5,1,1,0,4,0,0,0
DBNDD1,119,127,169,177,100,87,194,166,156,150,311,282,126,176,234,240
ALS2,533,701,1017,1286,818,756,1157,694,1103,472,890,928,239,747,709,809
CASP10,74,29,116,177,44,59,64,71,50,404,92,170,40,75,145,121
CFLAR,1912,2666,1902,1145,2475,2670,2009,1055,3155,1791,2713,2743,1763,1972,2596,2012
TFPI,822,1033,548,338,1457,1542,719,308,1217,687,681,739,567,478,808,476
NDUFAF7,145,96,156,221,135,134,141,118,170,177,163,227,67,95,189,111
RBM5,915,1089,973,1200,1132,1183,1008,684,1047,597,1052,1328,597,936,1498,920
MTMR7,0,0,3,0,0,1,0,0,0,0,1,2,0,0,2,3
SLC7A2,62,93,125,83,108,104,141,106,123,111,87,85,50,99,73,62
ARF5,938,1146,954,771,1080,1061,1125,928,1185,945,1248,1095,762,491,1170,916
SARM1,494,604,471,412,688,595,461,273,922,582,488,536,278,775,409,412
POLDIP2,2376,2233,3150,2376,2315,2132,3061,2471,2928,1645,3870,3840,1077,1398,3995,3327
PLXND1,4385,4043,2895,2904,4099,4181,2403,1818,4799,3829,2908,2854,3642,3953,3026,2383
AK2,1417,1622,896,602,1740,1579,1118,850,2000,1296,1436,1608,1178,740,1410,1321
CD38,1,25,5,1,5,4,12,42,18,5,39,11,3,35,30,21
FKBP4,1408,1340,1497,1642,1581,1343,1750,1485,1517,917,1652,1979,899,943,1802,1560
KDM1A,1315,1304,574,551,1566,1409,778,348,1388,915,820,782,579,821,626,627
RBM6,487,658,404,303,742,617,414,322,635,806,453,534,867,445,544,347
CAMKK1,225,179,460,296,261,185,362,347,204,97,384,400,88,101,416,367
RECQL,1131,1668,1600,949,2119,2012,2510,1014,1563,752,1648,2165,527,512,2362,1404
VPS50,213,241,173,175,315,282,161,129,206,92,175,148,37,105,92,76
HSPB6,1065,953,958,865,1062,940,939,889,1717,1006,1776,1799,617,780,1555,1315
ARHGAP33,37,73,7,0,76,49,6,61,84,63,18,17,26,112,53,17
NDUFAB1,423,526,357,271,686,594,517,257,531,450,460,485,466,172,378,288
PDK4,2,7,10,22,7,19,12,24,13,3,17,22,32,10,28,11
SLC22A16,0,2,3,0,2,2,0,0,6,0,1,2,0,0,3,1
ZMYND10,5,7,3,0,17,6,10,0,22,31,17,15,31,6,9,10
ABCB5,0,6,4,21,3,4,7,4,4,0,5,11,4,11,7,8
ARX,0,0,4,21,0,0,2,0,0,0,0,2,0,0,8,5
SLC25A13,404,352,244,317,451,365,241,145,460,478,271,241,151,280,326,180
ST7,590,433,415,292,436,479,518,381,528,346,586,581,235,327,575,410
CDC27,1937,1873,786,805,2130,1834,965,296,2184,1143,966,1065,762,1291,873,593
SLC4A1,4,3,4,2,7,3,3,0,4,0,3,6,8,3,4,0
CALCR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
HCCS,565,564,503,623,568,594,693,350,762,591,766,782,303,270,673,523
DVL2,547,703,748,745,728,623,688,570,981,770,1114,1210,319,658,887,795
PRSS22,0,0,1,0,2,2,5,14,0,0,10,2,0,2,3,8
UPF1,2895,2981,3696,2782,3190,3061,3213,2963,3621,2171,3943,4444,1716,3290,4104,3480
SKAP2,231,492,238,212,351,390,248,284,409,273,296,352,130,190,286,179
SLC25A5,2213,2432,2518,2035,2523,2295,2686,1731,3497,2080,3536,3791,1765,1809,3639,3504
MCUB,140,185,28,0,215,224,32,21,296,209,67,124,124,204,178,98
HOXA11,561,653,656,497,688,694,730,567,661,570,854,899,333,335,731,624
POLR2J,573,583,523,253,656,619,548,564,808,519,654,591,705,202,640,545
DHX33,507,586,618,332,625,544,671,471,691,372,687,955,318,654,877,681
MEOX1,14,16,19,0,18,25,12,18,12,0,33,36,18,6,36,17
THSD7A,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0
LIG3,537,386,611,242,343,468,395,407,604,642,631,899,162,620,477,393
RPAP3,256,517,227,265,707,731,427,214,423,167,271,312,221,167,268,247
ACSM3,2,6,10,4,14,4,8,1,9,3,6,1,0,0,6,7
REXO5,120,88,47,63,164,109,95,39,116,217,89,129,75,89,120,104
CIAPIN1,386,520,584,403,588,533,801,501,579,675,738,623,527,265,662,533
SPPL2B,494,622,789,545,671,542,599,535,691,370,896,995,274,622,961,803
FAM214B,1336,1301,800,606,1391,1246,791,699,1727,1273,967,873,1190,1329,1058,793
COPZ2,867,820,805,857,930,786,832,509,826,506,774,871,576,269,721,632
PRKAR2B,258,389,264,132,478,377,452,149,453,246,270,326,179,121,322,163
MSL3,285,397,335,415,391,429,443,190,426,334,357,390,339,197,486,265
CREBBP,2671,1792,2288,1504,1516,1758,1942,1240,2042,1317,1882,1984,617,2588,2213,1686
TSPOAP1,8,14,0,0,29,32,10,0,67,12,16,3,13,29,6,3
MPO,0,0,1,0,0,0,1,0,0,0,3,11,0,14,0,4
PON1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCFC2,84,108,68,113,154,126,131,87,119,243,100,141,98,35,149,104
WDR54,244,251,73,55,274,278,108,66,337,219,142,132,331,127,144,147
CROT,221,332,667,651,337,409,1065,611,209,101,564,833,113,124,427,370
ABCB4,11,14,10,1,8,9,12,13,46,0,18,13,2,3,42,9
KMT2E,1219,1243,437,579,1438,1435,623,259,1361,1054,536,419,1194,893,579,443
RHBDD2,1185,1295,3323,2864,1371,1404,3122,2343,1463,864,3952,4111,921,874,4741,3940
SOX8,5,2,9,0,4,7,7,18,5,19,16,15,1,3,35,21
ZNF195,153,210,252,157,248,248,349,129,200,164,301,394,37,176,300,229
MYCBP2,1051,1219,732,767,1365,1410,1064,714,1202,700,879,1179,1092,1034,807,583
FBXL3,468,676,442,243,804,923,646,161,574,439,577,559,236,256,729,391
ITGAL,6,35,2,0,23,12,7,2,10,0,3,0,8,8,8,7
PDK2,395,394,583,347,493,346,605,438,545,370,695,628,135,278,599,517
ITGA3,10487,13075,10353,10247,14453,12991,7259,6800,16801,11865,12414,12293,10542,14494,12125,11002
ZFX,496,542,442,572,525,584,531,162,584,416,343,582,64,412,375,193
LAMP2,3011,4144,3923,3044,4645,4385,6190,2497,3166,2167,3646,4938,1210,1580,4018,2364
ITGA2B,32,2,5,14,3,6,10,0,4,0,43,8,8,4,32,17
ASB4,0,1,1,25,0,0,0,0,1,0,0,0,0,0,0,1
GDE1,1653,2132,1888,1693,2210,2148,2444,1606,2026,1206,1769,2188,990,998,1866,1560
REX1BD,235,288,135,150,390,275,181,145,376,210,223,196,507,125,226,217
CRLF1,357,292,303,296,305,314,414,344,356,57,595,675,118,94,498,522
OSBPL7,39,35,4,0,49,48,14,32,73,14,17,69,39,44,12,55
TMEM98,931,1171,1414,1009,1315,1248,1510,1082,1272,883,1711,1728,425,621,1635,1458
YBX2,0,0,1,0,0,0,0,2,0,0,7,0,0,0,4,10
KRT33A,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MAP3K14,77,116,189,203,128,136,178,158,98,88,235,238,116,121,214,155
ABCC8,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,0
CACNG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TMEM132A,4473,5268,6099,5263,5498,4715,4896,4015,7222,3677,8085,7162,6270,7271,8562,7907
AP2B1,4580,5309,5033,3406,5370,5254,5470,2949,4730,3045,3984,4821,1822,3701,3828,3006
TAC1,0,1,5,20,0,0,8,8,1,0,1,22,0,0,17,9
ZNF263,395,470,861,517,475,500,864,486,398,465,932,1077,153,418,1011,895
CX3CL1,3,2,16,72,4,1,18,46,13,0,68,113,2,6,82,113
SPATA20,804,910,561,455,885,824,426,392,1155,571,599,651,409,639,434,449
CACNA1G,29,60,526,434,28,36,405,267,23,15,529,542,16,11,651,562
TNFRSF12A,4811,5084,2738,2225,5367,4972,2614,2090,6141,4016,3721,3639,4024,2459,3783,2994
DLX6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MAP3K9,79,66,119,124,69,66,94,52,121,184,128,259,56,119,182,114
RALA,2048,2583,1228,1051,2822,2722,1465,659,2551,1327,1488,1866,2039,850,1687,1056
BAIAP2L1,200,223,163,148,227,238,273,150,330,165,311,321,148,287,277,293
KDM7A,57,52,483,385,156,92,417,236,113,41,506,629,3,50,540,344
ETV1,249,230,208,150,211,191,213,159,310,176,314,262,155,207,197,175
AGK,314,377,107,69,513,410,220,52,376,316,168,175,108,214,115,107
ALDH3B1,809,889,430,369,971,883,404,268,1068,641,555,523,448,677,330,295
TTC22,0,3,1,0,7,6,2,1,2,15,0,1,0,3,3,3
PHTF2,738,745,587,480,857,870,734,509,868,330,707,927,227,399,753,618
CCL26,45,35,91,66,36,51,72,85,38,25,75,84,56,19,96,77
FARP2,776,896,464,288,805,1047,338,252,885,455,578,360,223,826,531,435
USH1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGCT,367,411,110,65,543,451,180,89,396,310,233,207,444,108,151,156
DBF4,229,292,50,48,326,443,88,45,301,238,34,30,74,86,55,50
TBXA2R,157,164,72,70,185,187,88,56,216,231,120,129,116,198,129,99
IFRD1,425,548,520,560,593,571,606,394,562,211,657,592,243,193,717,518
LGALS14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX10,213,236,158,171,219,237,210,89,243,81,224,252,90,104,239,202
GTF2IRD1,724,640,203,141,842,617,156,142,870,503,190,187,809,434,134,166
PAF1,1332,1494,1101,888,1418,1397,1093,833,1718,1126,1466,1471,1365,852,1422,1206
VPS41,707,609,835,455,615,807,897,618,722,772,1000,1089,124,429,978,552
ARHGAP44,28,28,101,102,57,40,139,91,77,50,156,295,32,54,152,133
ELAC2,1640,1443,951,610,1380,1344,947,810,1889,1218,998,1227,772,1587,900,642
SCIN,62,70,55,23,30,48,54,47,35,0,82,37,20,6,34,34
ARSD,320,365,898,587,442,413,788,770,394,274,855,954,362,359,870,847
PNPLA4,134,125,91,61,157,98,111,40,140,212,82,64,98,41,108,108
MYH13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ADIPOR2,1556,1711,1939,1196,1822,1722,2050,1243,1810,1234,1886,2291,796,1222,2307,1670
CDKL3,14,12,50,62,40,32,111,26,26,13,58,86,20,9,108,65
UPP2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MARK4,879,807,1262,1098,813,846,1188,807,918,740,1775,1681,589,624,1469,1434
PROM1,0,0,1,0,0,0,0,2,0,0,5,0,0,0,2,0
CCDC124,828,907,769,729,1029,957,762,631,959,621,975,995,597,335,822,745
CEACAM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PAFAH1B1,2719,3065,1964,1562,2967,3113,1960,1509,3723,2673,2308,2504,1346,2599,2378,1474
NOS2,0,1,4,15,0,0,0,6,2,0,7,5,0,0,8,4
DNAH9,2,1,2,0,1,3,11,0,0,5,0,0,1,0,1,2
KIAA0100,5732,5326,3179,2794,6539,6234,3091,2845,5640,3458,3761,3908,1854,5529,2850,2493
SLC13A2,0,0,2,19,0,0,0,0,0,0,0,0,0,0,1,1
GAS7,241,297,468,256,301,278,415,353,321,157,422,795,170,264,581,690
TRAPPC6A,23,37,93,105,33,21,67,40,21,0,114,107,44,4,92,95
MATK,10,2,0,0,11,3,0,1,0,0,1,2,0,2,2,7
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,3,3,2,0,0,6,2,0,0,0,3,2,0,0,4,4
SCN4A,0,0,1,10,0,0,0,2,0,0,0,0,0,0,3,3
ST7L,218,298,171,151,294,288,352,121,386,247,259,289,153,171,265,260
TKTL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAX6,0,0,0,0,0,0,1,0,2,5,2,0,0,3,9,9
RPUSD1,424,525,325,277,527,512,326,345,795,462,518,424,419,434,511,456
RHBDF1,1334,1521,2502,2315,1527,1280,2065,1708,1428,976,2341,2500,1053,1156,2307,1834
LUC7L,339,447,399,319,428,458,357,392,493,175,637,377,340,228,464,366
CACNA2D2,4,1,3,0,2,0,4,6,1,0,7,5,13,5,9,12
BAIAP3,2,4,19,0,14,4,8,75,13,0,18,38,3,4,22,28
TSR3,859,970,643,505,992,838,734,528,994,659,913,776,758,487,816,680
PIGQ,680,708,608,678,714,688,456,768,975,716,833,692,699,955,881,714
CRAMP1,505,651,689,215,476,454,413,260,536,251,520,822,237,712,822,743
TEAD3,1716,1966,2503,1732,2193,1980,2402,1936,2480,1499,2930,2740,1095,2072,2968,2761
SELE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC11,1159,1372,1601,906,1386,1286,1616,996,1545,992,1604,1625,743,1009,1606,1274
FMO3,0,0,0,0,9,4,1,5,4,0,6,4,0,1,4,3
MYLIP,102,137,172,98,143,134,190,149,82,45,160,198,81,32,325,260
NOX1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PSMB1,1357,1777,971,927,2182,1905,1376,665,1846,1126,1190,1312,1551,437,1039,977
SYN1,21,29,58,35,32,22,60,32,34,35,86,80,6,25,102,128
JARID2,245,326,137,100,324,285,151,141,338,236,214,217,181,316,180,173
CDKL5,182,247,243,62,271,291,213,88,282,89,240,300,59,294,271,170
CAMK1G,198,180,116,197,187,172,118,66,119,194,55,61,65,75,70,53
CDK11A,207,199,283,325,251,275,243,237,260,308,347,258,473,152,385,258
NADK,1634,1850,1334,1362,1917,1708,1316,1089,2089,1541,1869,1644,893,1368,1595,1455
TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,5,7,3,7,9,6,12,6,9,0,9,9,9,6,16,10
CYTH3,1838,1766,2913,2182,1909,1832,2650,2103,2194,1732,2515,3159,548,1471,2171,1274
ADAM22,6,5,7,0,2,0,33,9,1,0,3,12,2,1,9,9
SYPL1,1102,1549,611,431,1857,1765,805,386,1298,669,730,811,323,617,696,452
CYB561,473,511,562,640,545,515,485,374,502,361,588,589,362,361,563,479
SPAG9,1255,1521,1566,1116,1575,1475,1862,1082,1459,1663,1568,2109,555,1150,2173,1608
CELSR3,95,67,70,43,100,102,61,32,140,63,64,100,144,128,129,37
AASS,114,140,125,106,161,137,185,79,81,75,185,164,35,101,190,139
PLEKHG6,4,2,8,0,1,0,16,4,1,0,45,11,0,1,6,20
SS18L2,99,152,58,31,229,199,91,28,132,61,74,78,125,33,104,47
MPND,130,99,80,106,134,74,76,91,138,51,74,151,176,43,79,79
MGST1,1004,1258,1013,851,1132,1164,1211,650,2155,1388,1900,2316,990,789,2154,1466
CRY1,187,258,280,287,273,271,362,346,313,288,505,486,72,198,474,337
PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIX,3343,3913,1093,607,4215,3836,1223,1086,3654,2392,1287,1378,1216,3304,942,957
ST3GAL1,2749,2970,2558,1958,3138,3170,2732,1706,3983,2312,3575,3675,2415,3402,3043,3012
MMP25,9,5,25,17,1,2,18,41,4,0,35,67,0,4,79,51
IL32,291,326,450,384,360,345,405,374,417,258,514,541,299,89,522,452
PKD1,1413,1808,1491,1525,1930,1578,1413,1841,2010,1977,2268,2075,1000,2825,2231,2050
MAPK8IP2,32,62,29,12,50,35,24,29,185,88,93,96,131,153,85,60
MED24,1031,1120,987,1365,1323,1236,1106,1045,1260,1417,967,1318,1171,878,1069,1017
RHOBTB2,613,616,143,46,639,566,147,203,802,889,243,222,378,622,366,246
HEATR5B,371,370,206,173,466,413,265,142,340,345,252,247,94,327,350,108
SEC62,2521,2696,1897,2034,3266,3285,2353,1331,2364,1694,2051,2330,3787,776,2051,1642
RPS20,4424,5728,4994,4004,6633,5923,6712,3510,5670,3453,6508,7088,4433,1211,6538,5376
CSDE1,8754,9424,9016,7126,10162,10233,10099,5715,9712,5596,7702,9803,3101,4542,7639,6120
UBE3C,3181,3584,2476,1651,3520,3106,3164,1744,4006,2525,2753,3218,1052,2637,3043,1894
REV3L,779,925,663,689,1295,1349,1303,279,764,749,792,1079,741,504,968,535
TENM1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PAX7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
MASP2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0
IYD,33,25,7,3,14,13,4,19,12,0,18,5,36,7,6,22
FAM76A,199,194,234,155,214,232,236,219,290,257,204,350,151,141,248,182
TRAF3IP3,3,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1
POMT2,611,639,1078,780,607,390,773,514,659,721,1093,1294,292,537,1277,779
VTA1,928,1217,624,443,1348,1523,955,458,1075,495,751,955,239,391,659,565
MLXIPL,9,5,14,27,14,7,12,27,5,23,26,14,62,13,20,27
BAZ1B,2974,3657,1242,1111,3942,3524,1640,740,3871,2247,1750,2105,3006,2937,2071,1625
RANBP9,1269,1226,1189,532,1430,1474,1240,739,1560,1031,1100,1109,676,827,1445,904
ETV7,99,94,539,528,85,100,440,368,198,194,888,995,130,104,923,751
SPRTN,252,187,389,435,265,252,500,229,335,257,681,485,33,170,551,381
EEF1AKNMT,1017,1003,1470,978,1142,1089,1536,1184,1187,1034,1715,1522,677,622,1803,1477
DYRK4,257,303,48,84,324,301,91,29,293,157,82,119,237,84,31,57
ZNF207,2468,3071,1638,1260,3172,3169,1882,1063,3493,1655,2022,2398,1080,2004,1916,1612
UQCRC1,2667,3247,2919,3092,3530,2749,3843,2100,4018,2803,4061,4028,2526,1769,4306,3374
STARD3NL,524,690,264,284,716,697,387,207,625,356,329,422,204,217,370,170
CD9,4219,5058,7874,5699,5679,5163,7995,5347,5070,2576,7225,7559,1705,2248,7249,5956
HHATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NCAPD2,2843,3009,894,707,3124,3129,910,1058,3703,2327,958,1174,738,2923,1430,1216
IFFO1,525,599,447,371,687,603,559,404,626,404,625,579,414,483,561,493
GIPR,3,14,13,6,17,7,32,21,7,0,25,18,2,9,36,18
PHF7,66,52,97,48,71,36,108,87,64,63,128,109,26,24,113,64
SEMA3G,0,1,6,0,1,0,9,17,0,0,19,4,0,0,7,12
NISCH,735,989,860,890,917,852,855,633,915,671,1024,1018,237,849,1153,775
STAB1,4,1,0,0,5,1,1,0,1,0,0,2,1,5,0,1
FUZ,110,177,161,226,156,164,205,104,175,172,182,238,119,74,159,184
SLC6A13,0,0,9,0,0,0,2,0,0,0,1,1,0,0,0,1
IDS,2247,2447,3509,2757,2425,2260,3580,2523,2155,1436,3516,3627,440,1416,3342,2633
PRSS3,370,315,116,107,373,351,128,71,318,193,121,125,181,112,116,113
ZNF200,165,161,172,146,232,197,212,71,222,94,245,402,93,151,334,239
CD4,8,5,3,0,3,1,3,11,6,0,12,4,0,1,8,0
LRRC23,83,66,43,45,67,57,38,30,68,17,60,48,141,22,35,50
BTK,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,2
HFE,311,339,311,512,286,319,307,204,284,305,355,405,123,254,342,241
SCMH1,647,598,210,255,570,550,175,186,761,441,243,295,277,544,325,280
FYN,584,799,1105,1148,729,625,870,566,986,499,1047,1369,454,975,1579,1214
HIVEP2,1041,1078,749,536,1289,1057,749,544,1260,718,996,1094,542,1399,1440,845
FMO1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,1,0
ELOA,1547,1550,1939,1404,1625,1469,1811,1239,1758,1106,2333,2337,662,1118,2472,1928
LYPLA2,1057,1142,1956,1641,1201,1069,1857,1748,1393,780,2656,3026,539,783,2501,2254
CLCN6,212,277,233,170,332,306,265,154,291,254,251,295,124,308,245,166
MRC2,21528,23886,25031,20608,26292,22427,20673,19465,23681,13751,25068,23169,8738,21112,20019,18305
NME1-NME2,362,923,1356,529,720,617,1589,1409,713,1150,2467,2152,454,282,2282,2099
SLC6A7,0,0,3,0,2,0,5,3,0,0,3,6,7,0,12,7
TSPAN9,2178,2087,2491,2664,2232,2095,2495,1796,2054,1647,2815,3315,1109,1804,3038,2575
APBA3,181,240,561,226,270,294,442,376,449,257,650,825,199,226,704,543
MKS1,158,93,27,44,125,114,36,18,155,52,17,44,51,67,11,12
ABHD5,519,626,808,498,724,649,859,476,807,366,1079,1294,230,281,1209,902
ANOS1,74,52,123,84,90,77,69,33,118,120,58,105,81,82,129,150
AKAP8L,448,552,1545,1465,608,505,1279,1115,600,540,1707,1826,563,350,2104,1370
MBTD1,58,109,80,37,136,145,97,44,70,36,79,109,47,61,104,50
UTP18,455,597,251,258,719,711,354,190,562,330,310,321,421,261,244,203
RNF216,1640,1711,706,656,1652,1544,758,465,1955,1846,860,921,922,1196,685,703
TTC19,204,281,429,215,371,344,557,213,261,93,527,602,105,142,496,353
PTBP1,6953,6951,5499,3653,7099,6395,4482,4468,9426,6225,7815,7525,3829,8205,8472,7215
DPF1,153,100,3,42,127,153,16,11,206,422,38,74,85,118,28,54
SYT7,47,53,84,9,46,29,48,33,119,52,195,147,37,88,122,113
LARS2,688,631,740,801,720,584,708,558,688,920,779,919,276,559,703,717
PIK3C2A,572,941,936,996,1046,956,1224,485,782,781,726,799,266,352,749,451
PLAUR,2050,2096,3597,3070,2410,2212,3021,2854,3325,2174,4278,4668,2248,1654,5341,4215
ANLN,4188,5382,252,267,5274,6077,743,536,6031,3207,364,455,877,3383,814,493
WIZ,1646,1686,2023,1605,1682,1497,1970,1755,1827,1111,2582,2400,649,1554,2551,2202
RABGAP1,778,994,836,612,994,1011,935,600,815,575,859,976,323,598,960,574
DCN,12554,15085,14749,10345,17593,15779,20804,10463,11944,6612,12790,15013,3764,4923,11916,8227
QPCTL,297,361,388,304,370,329,365,223,364,503,463,452,250,217,532,523
PPP5C,1711,1678,547,357,1774,1666,522,589,2387,2214,779,857,974,1278,814,736
CEP68,152,242,420,395,222,314,382,313,266,164,531,457,92,140,578,424
MAP4K3,572,404,145,427,376,366,382,392,663,286,381,581,269,342,342,345
ZBTB32,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
TYROBP,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
TMEM159,412,440,312,416,477,462,313,241,464,364,417,408,241,239,385,368
GABRA3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BRCA1,462,480,125,159,657,574,259,104,724,182,204,167,565,509,378,273
ERCC1,1448,1564,1833,1757,1668,1544,1719,1282,1957,1169,2506,2073,1829,921,2601,2113
CD22,5,16,42,87,9,14,41,37,14,0,59,50,22,12,71,35
SEMA3B,756,837,1666,1108,841,791,1271,1263,1087,655,1977,1881,714,777,2108,1623
MBTPS2,546,760,336,202,775,823,496,201,747,418,383,418,172,402,410,303
PRICKLE3,196,169,305,219,201,172,285,228,213,132,472,405,106,154,293,361
LTF,0,0,2,0,0,1,3,0,1,0,0,0,0,0,4,1
EXTL3,3180,2919,3147,2603,3444,2808,2766,2312,3298,1961,2842,3892,967,2625,2902,2576
NR1H4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ELOVL5,2073,2521,1436,856,3012,2944,1908,719,2489,1632,1608,1964,949,1397,1956,1470
ALOX5,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3
KDM5D,513,642,52,81,640,609,68,48,594,692,140,43,190,518,66,48
CALCOCO1,903,1006,3699,2538,1132,955,3616,2632,974,540,2815,3202,438,526,2746,2034
UBR7,3,4,0,0,0,3,0,0,16,0,0,31,0,0,66,14
MAP4K5,820,836,547,378,1111,1041,703,491,1058,476,739,775,351,418,709,592
EHD3,5398,5983,8038,6900,6645,6380,8605,6264,5518,3128,9195,8994,1591,3847,5172,5593
MAN2B2,1917,2452,3711,2835,2504,2174,3239,2990,2589,1444,4014,3605,860,2370,3689,3573
SLC7A14,120,70,94,25,207,120,151,189,133,15,89,260,155,110,170,165
CLDN11,393,636,612,513,597,650,950,589,663,304,861,1053,416,636,695,697
SLC25A39,1452,1595,1605,1246,1644,1506,1384,1249,1845,1472,2022,2079,742,1043,2232,1944
MVP,6743,7007,6546,6133,7308,6578,5838,4723,7718,5167,7743,7782,3969,4808,5706,5463
NUB1,898,1015,863,686,956,983,1234,512,933,643,1203,1312,461,520,1053,848
PGM3,1399,1411,1609,832,1574,1303,1517,921,1956,852,1704,2346,653,863,2294,1433
RWDD2A,102,153,232,101,196,165,280,123,145,111,211,283,77,62,275,178
CLK1,321,359,410,262,536,547,514,222,260,428,388,470,181,111,462,281
POLR3B,356,426,197,198,465,427,240,93,426,292,164,201,108,234,150,101
