gene_name,Control_0nM Dox-1,Control_0nM Dox-2,Control_350nM Dox-1,Control_350nM Dox-2,sg_P130_0nM Dox-1,sg_P130_0nM Dox-2,sg_P130_350nM Dox-1,sg_P130_350nM Dox-2,sg_RB1_0nM Dox-1,sg_RB1_0nM Dox-2,sg_RB1_350nM Dox-1,sg_RB1_350nM Dox-2,sgRB1+sgP130_0nM Dox-1,sgRB1+sgP130_0nM Dox-2,sgRB1+sgP130_350nM Dox-1,sgRB1+sgP130_350nM Dox-2
OR4D10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133315,39,19,31,20,20,17,34,11,26,0,75,97,24,11,29,17
AP5B1,548,589,644,461,689,609,567,479,728,349,841,859,284,593,892,752
LOC646112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4A49P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC105376114,18,26,47,9,35,36,59,81,35,2,60,88,8,16,140,90
OR2AT1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02749,2,1,2,0,1,0,1,0,1,0,1,0,0,1,5,0
LINC02547,23,24,17,18,31,20,28,6,31,45,34,18,33,31,52,40
MPPED2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5M7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100421023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC112268018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBX3P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGB3P29,5,4,7,0,10,10,8,7,0,11,6,3,7,5,19,3
CHMP4A,257,242,92,82,265,240,86,63,363,134,200,217,180,85,167,167
FBXO3-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507384,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
SIGLEC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8I4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENPP7P12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRGPRX7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ20021,43,44,130,40,53,21,117,37,42,33,129,170,49,13,143,174
PABPC4L,68,107,34,18,120,145,57,33,133,82,54,68,13,37,39,42
MRGPRX6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCNAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MRGPRX13P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMP,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
BBOX1-AS1,0,1,1,0,0,3,1,0,0,0,2,0,0,3,0,0
LINC01493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND2P26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBTFL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100506675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGEL2,7,16,21,0,22,11,18,21,10,0,18,14,7,9,25,6
ETS1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF4A2P3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LINC02686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNK2A3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
OR5M6P,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
LOC101929427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
DNAJB6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC728975,43,38,38,86,52,46,35,30,43,64,47,49,36,21,54,27
