gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
LSM10,362,369,432,627,721,301,394,373,521,873
RELL1,31,54,51,62,59,84,149,246,172,236
RFX7,999,924,1503,1562,1261,591,614,1282,2792,1838
SLC35C1,312,350,361,405,472,611,663,763,847,1916
TIGIT,5,2,2,5,11,0,1,0,0,1
RNF41,1274,1212,1500,1522,1633,762,837,1111,1845,2411
SLC2A4,64,57,180,108,69,13,99,58,19,131
FTMT,6,2,1,1,1,2,2,1,1,2
IBA57,277,314,393,393,770,253,324,260,383,758
CLDN7,1349,476,1572,770,1471,1484,1515,701,108,3402
ZNF329,303,255,461,383,380,439,523,709,1051,1160
ZNF101,492,421,727,671,862,122,125,170,186,391
OR4C6,0,0,0,0,0,0,0,0,0,0
C5orf24,441,777,839,626,547,1263,1387,2379,2649,3088
LOC100996455,1,2,1,0,3,4,20,12,41,28
ADO,745,724,1149,1173,957,640,931,1204,1424,1584
COA4,976,905,1328,1585,1640,795,937,757,682,1793
OR4P4,0,0,0,0,0,0,0,0,0,0
PRKAG1,744,658,842,951,965,1108,1435,1614,1383,2541
GINS3,357,373,611,596,528,239,284,535,479,709
OR4C15,0,0,0,0,0,0,0,0,0,0
OR4A15,0,0,0,0,0,0,0,0,0,0
OR4A16,0,0,0,0,0,0,0,0,0,0
OR52K2,0,0,0,0,0,0,0,0,0,0
NEUROG1,0,0,0,0,1,12,18,74,253,82
CCDC149,135,110,100,181,127,426,386,586,607,1071
GOLGA8EP,12,0,0,0,1,0,0,2,0,0
MRPS11,645,636,679,927,1045,601,686,849,803,1491
LINC00301,0,0,0,0,0,0,0,0,0,0
SNRPE,2292,1853,2766,2971,2863,2831,2843,3596,2435,4131
RTKN2,533,536,737,1038,603,195,384,886,909,883
PNMAL1,532,553,875,951,701,797,1092,1781,3534,2147
CHST15,398,469,536,616,820,471,312,738,621,1507
ADIG,0,0,0,0,0,0,0,0,0,0
USH1G,33,37,68,74,31,118,40,13,9,62
TRPC2,1,0,0,0,0,0,0,1,0,0
MGAT4C,175,137,170,406,270,50,25,107,155,70
TRIM49B,0,0,0,0,0,0,0,0,0,0
IDH2,902,1070,1467,1746,1659,5843,5386,9221,5764,14797
OGFRP1,4,15,22,15,11,5,6,5,4,39
OR52A1,5,4,0,20,14,0,0,0,0,0
PTCHD3,0,0,0,0,0,0,0,0,0,0
OR6B2,0,0,1,0,0,1,0,0,1,0
TMEM259,1219,1280,3248,1860,1735,1367,1610,1686,2591,4146
WRB,513,487,618,847,645,637,829,1381,2226,1401
TNRC18,1211,1201,869,1260,1755,2772,2999,3617,5662,8319
FAM181B,15,30,21,37,32,171,418,728,436,582
TMEM30B,281,124,290,129,423,933,1200,826,92,1757
DEXI,345,327,415,569,375,789,693,719,671,1694
ZNF716,2,6,6,4,4,2,2,3,3,4
NOP10,1322,1239,1645,1851,1943,976,939,1093,840,2171
FAM89A,114,173,134,128,113,190,277,383,408,562
KCNIP1,5,3,10,5,4,57,403,564,488,385
TDRKH,425,329,500,643,585,138,180,284,486,398
ZNF708,300,315,514,517,508,145,264,465,570,483
IST1,2905,3043,5381,5254,3920,2295,2921,3711,3952,7146
ERCC6L2,474,437,747,680,387,331,368,768,1075,966
MRPL41,521,545,650,908,746,575,685,654,813,869
ENPP7,0,0,2,0,0,154,176,26,0,583
CREB3L2,1309,1322,2029,1591,1606,2717,1796,2240,1238,7317
P2RY8,2,2,7,5,2,12,1,11,5,12
TP53TG1,43,50,87,117,95,505,448,362,231,533
