gene_name,hESC_Control_1,hESC_Control_2,hESC_RB1_null_1,hESC_RB1_null_2,hESC_RB1_null_3,teratoma_Control_1,teratoma_Control_2,teratoma_RB1_null_1,teratoma_RB1_null_2,teratoma_RB1_null_3
TSPAN6,1278,1098,2130,1905,1782,3664,4129,3482,2669,7358
TNMD,23,25,51,55,47,366,373,1012,10,425
DPM1,799,702,1173,1304,1142,594,723,771,718,1175
SCYL3,181,148,240,285,184,248,246,396,438,425
C1orf112,569,470,605,697,836,162,266,296,290,637
FGR,4,4,8,5,3,83,15,9,0,38
CFH,0,0,8,5,0,551,362,648,319,522
FUCA2,1352,1337,1507,1948,1968,1180,1957,2375,952,3839
GCLC,886,966,1506,1556,1317,324,601,846,821,1320
NFYA,721,793,1104,1343,730,856,830,1295,1786,2854
STPG1,162,145,220,222,237,225,287,239,241,360
NIPAL3,207,204,363,336,379,702,522,620,541,1692
LAS1L,1913,1776,2169,2649,2831,1000,844,1111,1094,2403
ENPP4,168,125,170,264,125,329,297,266,305,518
SEMA3F,514,479,742,895,752,2248,1032,774,1200,1983
CFTR,52,71,238,81,40,432,1792,991,139,2195
ANKIB1,1286,1267,1858,1883,1434,701,869,1265,1934,1833
CYP51A1,1676,1675,2042,2804,2187,1244,2706,2439,2803,2904
KRIT1,733,555,949,917,763,421,479,620,844,1230
RAD52,202,210,360,355,142,120,90,162,233,191
BAD,257,267,287,377,441,1135,1097,1367,1314,2274
LAP3,1132,1048,1432,1701,1683,971,1280,1561,886,2546
CD99,1445,2083,2392,1824,2345,6160,6986,9544,3916,15619
HS3ST1,60,16,5,11,48,207,218,117,444,455
AOC1,7,3,7,5,5,413,665,170,15,841
WNT16,8,12,6,4,5,44,25,22,28,34
HECW1,128,131,101,118,391,76,91,357,1414,306
MAD1L1,544,570,675,756,868,707,661,992,887,1731
LASP1,7425,6596,5825,7588,12993,8223,8862,11293,7025,22696
SNX11,373,342,540,550,576,253,310,477,534,706
TMEM176A,4,2,9,3,3,1182,1380,1101,101,2979
M6PR,2234,1865,3490,2894,2904,2030,1909,2356,1684,4913
KLHL13,283,172,324,301,239,663,1229,1390,965,1896
CYP26B1,367,272,48,78,326,244,183,347,442,280
ICA1,369,203,515,307,373,444,587,382,168,906
DBNDD1,1282,1263,2131,1858,2230,551,598,1267,1818,1786
ALS2,1020,817,1207,1480,1047,494,623,798,1309,1386
CASP10,101,96,149,128,106,81,92,133,23,144
CFLAR,952,1086,811,916,739,860,721,628,752,2579
TFPI,798,455,429,570,944,492,1162,1621,225,3919
NDUFAF7,570,459,947,869,495,136,190,223,250,393
RBM5,1713,1461,2555,2121,1261,1071,851,1315,2592,2222
MTMR7,91,71,200,129,93,107,66,396,538,406
SLC7A2,707,501,1477,729,787,1855,1843,1902,254,7280
ARF5,2337,2169,2811,2988,2799,4584,5055,5747,4441,8916
SARM1,109,103,149,100,136,555,761,1386,2038,2547
POLDIP2,2743,1990,2462,2774,3505,2492,2904,3327,2703,5788
PLXND1,1448,2032,1154,1789,3843,2365,1478,4055,1654,8300
AK2,1404,1171,2262,2116,2112,1898,2216,2248,1830,5011
CD38,6,11,8,23,8,53,8,55,1,90
FKBP4,5917,3702,6571,7072,6153,1987,1608,1541,2700,4371
KDM1A,4308,4319,7834,7638,6540,3681,4054,7202,8546,10873
RBM6,1452,1352,2193,1841,1317,1098,863,1342,2015,2098
CAMKK1,150,123,209,187,133,245,229,304,550,455
RECQL,1288,1235,1590,1812,2013,504,689,1127,938,1549
VPS50,334,395,462,379,289,350,470,594,736,708
HSPB6,9,2,2,2,5,1406,1266,2232,1054,1875
ARHGAP33,276,296,617,610,452,125,230,878,2908,826
NDUFAB1,1607,1436,1913,2273,2261,1259,1618,1471,1452,2308
PDK4,304,151,19,41,125,247,254,350,118,681
SLC22A16,8,15,10,8,8,31,52,24,34,31
ZMYND10,8,2,8,5,1,1417,671,292,336,548
ABCB5,7,3,6,5,1,1,5,12,9,7
ARX,6,3,5,4,5,78,61,145,1986,857
SLC25A13,2369,2114,2510,3228,2974,592,946,1219,607,2765
ST7,371,273,393,380,490,573,755,1132,1354,1610
CDC27,2824,2000,2134,2524,2267,1177,1332,2041,1905,3353
SLC4A1,8,6,11,6,8,6,14,7,7,313
CALCR,180,210,50,133,57,6,13,7,8,13
HCCS,915,1070,1584,1626,1782,557,763,824,743,1570
DVL2,835,786,1326,1202,1029,793,843,1096,1359,2387
PRSS22,15,15,50,13,4,68,31,20,19,117
UPF1,2605,2982,3205,4078,4073,2311,2085,2385,3336,6262
SKAP2,325,259,163,279,286,515,381,262,272,784
SLC25A5,6296,5891,7627,9691,9339,5699,7653,7919,4342,14248
MCUB,240,171,398,330,506,157,215,476,514,409
HOXA11,22,27,5,7,12,238,368,320,80,501
POLR2J,437,443,613,790,773,684,735,793,826,1621
DHX33,2245,1856,3257,2901,2688,468,514,629,1327,1553
MEOX1,2,1,0,0,2,194,112,137,14,236
THSD7A,108,71,98,143,70,216,313,1687,1940,863
LIG3,2523,2084,2942,3336,2675,1175,1077,1240,1420,2119
RPAP3,991,870,1148,1544,1205,706,689,962,1056,1396
ACSM3,45,9,166,65,59,565,431,242,96,832
LOC81691,80,82,127,158,108,128,135,320,238,311
CIAPIN1,1513,1494,1837,2438,2420,856,1081,1645,1703,2647
SPPL2B,516,564,1701,1022,717,1124,1120,902,1467,2466
FAM214B,488,429,276,367,428,522,343,356,987,989
COPZ2,104,71,29,47,140,1151,696,1429,594,1630
PRKAR2B,828,715,1293,989,1008,376,841,2640,3897,1795
MSL3,569,625,686,974,779,1053,975,1557,1777,2204
CREBBP,2470,2455,3416,3050,2803,2089,2060,3321,5988,8032
TSPOAP1,131,130,309,126,95,300,445,624,745,1030
MPO,6,2,6,5,6,79,28,18,13,1171
PON1,9,0,5,2,2,3,21,3,0,43
GCFC2,300,316,521,533,331,693,570,898,793,1603
WDR54,346,333,628,493,466,1007,633,863,1467,1838
CROT,114,98,193,185,115,305,392,288,300,672
ABCB4,15,21,21,25,20,20,137,69,117,224
KMT2E,977,1130,1422,1456,928,1162,1338,2680,5565,3582
RHBDD2,407,522,653,652,637,1497,2203,3038,3115,3894
SOX8,90,70,82,107,72,347,240,443,575,500
IBTK,662,556,740,839,734,565,685,1001,1055,1314
ZNF195,961,826,1633,1361,1284,448,539,792,1424,849
MYCBP2,1102,1057,1127,1431,946,1652,888,2257,3267,3148
FBXL3,543,440,566,572,561,1005,934,1233,1167,1723
ITGAL,14,10,36,15,15,23,17,36,5,74
PDK2,434,391,494,513,454,921,2459,1277,1073,2521
ITGA3,1185,1081,410,1020,1838,2114,1342,1058,624,5577
ZFX,808,714,999,985,779,945,905,1035,1719,1859
LAMP2,2328,1749,1740,1628,2041,2344,2438,2279,1540,5055
ITGA2B,74,61,215,83,128,67,36,33,49,260
ASB4,2,0,3,4,2,25,25,75,17,39
GDE1,1513,1473,1583,2066,1923,1719,2232,2239,1856,4275
C19orf60,331,400,623,672,595,455,561,478,633,842
CRLF1,212,150,142,166,206,184,244,154,102,93
OSBPL7,93,90,227,145,86,127,183,229,157,337
TMEM98,1435,1317,1865,2172,1932,2699,4849,4772,3145,10638
YBX2,282,188,713,391,230,63,78,52,69,272
KRT33A,0,0,0,0,0,0,2,0,0,0
MAP3K14,238,150,195,156,311,119,103,137,317,448
ABCC8,10,18,47,23,19,60,40,61,81,585
CACNG3,0,1,2,0,1,5,10,59,106,11
TMEM132A,996,971,1578,1427,1039,1717,2042,2544,6588,4942
AP2B1,10562,8616,8728,10937,13710,6216,5428,10064,14130,16480
TAC1,204,170,12,37,42,212,102,301,294,75
ZNF263,698,699,1306,1107,954,880,937,1333,1624,2169
CX3CL1,41,61,90,76,84,666,808,614,665,671
SPATA20,368,386,783,589,421,1534,2000,1851,890,4068
CACNA1G,220,178,393,197,237,376,494,881,1177,703
TNFRSF12A,892,955,920,991,1716,482,211,267,445,1280
DLX6,11,6,25,7,1,32,23,107,138,157
MAP3K9,707,697,967,993,705,377,325,606,1655,958
RALA,2653,1775,2167,2463,2828,1391,1516,2173,2344,3404
BAIAP2L1,680,617,1201,915,919,721,571,397,219,1571
KDM7A,418,363,446,558,487,409,234,389,1277,776
ETV1,1923,1636,1583,1952,2533,319,528,930,668,1282
AGK,342,350,555,628,595,244,271,566,618,640
ALDH3B1,15,19,20,43,21,461,243,424,126,564
TTC22,20,10,31,14,9,287,354,138,13,354
PHTF2,475,492,902,879,708,503,610,1172,1230,1412
CCL26,38,41,17,61,44,4,4,5,1,3
FARP2,546,638,958,969,736,641,829,976,1063,2205
USH1C,15,6,22,14,3,913,1599,585,17,1873
GGCT,1232,839,1596,1432,1636,1090,1384,1484,1019,2343
DBF4,1029,898,1470,1714,1304,267,574,654,838,961
TBXA2R,18,17,34,34,19,42,38,101,43,165
IFRD1,1046,880,1087,874,862,269,260,310,944,542
LGALS14,1,3,3,1,5,71,106,21,1,68
COX10,423,313,516,518,578,308,346,342,387,766
GTF2IRD1,561,528,915,737,566,1259,1241,1928,1564,2626
PAF1,825,781,916,1139,1031,1461,1452,1935,1989,3472
VPS41,2118,1397,1598,1492,1880,1044,1190,1368,1746,1949
ARHGAP44,371,220,442,420,413,174,213,299,559,599
ELAC2,2898,2107,3200,3477,4055,1310,1292,1336,1746,3688
SCIN,15,19,31,27,19,212,239,145,130,194
ARSD,159,252,348,269,258,1641,1858,1701,1104,3440
PNPLA4,514,517,628,857,696,737,887,781,569,1346
MYH13,30,18,2,10,12,100,4097,60,3,2001
ADIPOR2,1325,1188,1516,1739,1429,1271,1784,2079,1926,3368
CDKL3,38,24,18,61,33,56,38,101,107,44
UPP2,0,0,1,1,0,12,1,3,4,15
PRSS21,1,1,1,1,0,0,0,0,0,1
MARK4,851,762,1191,1213,886,1287,1028,1524,2516,2675
PROM1,960,965,2356,1106,1813,824,2005,2405,1288,2431
CCDC124,1371,1338,1234,1964,2128,1235,1346,1712,1817,2840
CEACAM21,1,1,0,0,0,5,3,8,4,21
PAFAH1B1,9746,6299,5685,7176,8127,2566,2676,4438,6953,6635
NOS2,45,44,58,59,42,82,71,53,47,235
DNAH9,19,41,8,45,47,743,313,171,237,319
KIAA0100,5611,3229,4338,4275,5282,5986,5942,5469,4185,11270
SLC13A2,2,0,4,0,3,56,434,70,8,291
GAS7,523,284,518,433,749,2214,1703,3115,2419,7580
TRAPPC6A,140,167,357,251,194,540,535,450,347,933
MATK,169,93,339,163,282,70,65,45,54,113
CEACAM7,1,0,1,3,0,36,3,2,0,0
CD79B,54,30,20,55,74,25,11,13,1,27
SCN4A,137,110,283,253,70,36,218,46,11,93
ST7L,285,232,328,323,352,235,324,446,386,614
TKTL1,5,5,4,0,0,64,90,286,484,123
PAX6,31,49,112,36,15,82,254,1049,3855,2006
RPUSD1,597,647,697,771,1058,485,501,518,641,1495
RHBDF1,626,521,571,676,583,501,458,530,223,1548
LUC7L,1052,1008,1568,1791,1435,520,511,557,1375,1311
CACNA2D2,475,473,1429,895,457,277,378,682,1185,664
BAIAP3,63,56,151,105,135,421,426,335,868,542
TSR3,894,726,751,1093,1378,1292,1242,1446,1428,2468
PIGQ,377,436,963,769,485,782,851,1126,1369,2078
CRAMP1,425,479,1126,693,535,438,389,514,1072,982
TEAD3,589,683,748,889,1192,1445,1047,1507,983,3611
SELE,0,0,1,0,0,3,0,5,0,1
DNAJC11,1971,1754,2861,2698,2676,954,1240,1456,1638,2992
FMO3,7,3,3,1,6,10,7,27,7,28
MYLIP,246,264,644,457,122,417,587,391,238,1464
NOX1,3,2,5,7,2,20,85,11,7,82
E2F2,34,57,87,76,99,71,145,400,374,371
PSMB1,3588,3335,3973,5149,5011,3176,3636,4763,3207,7104
SYN1,204,182,179,219,186,240,195,775,1525,492
JARID2,6890,6094,10219,9746,10945,824,889,1229,2313,2157
CDKL5,1225,1471,2442,1952,1460,556,592,1074,2000,1523
CAMK1G,4,6,19,14,6,72,47,96,185,225
CDK11A,434,390,593,627,436,162,167,230,284,356
NADK,967,1079,1915,1751,1133,843,1062,1154,1452,2873
TFAP2B,40,28,16,11,5,487,177,497,1394,842
TFAP2D,0,0,0,0,0,4,0,12,10,4
DLEC1,30,36,47,40,6,109,48,24,22,150
CYTH3,383,488,477,489,632,526,635,975,1060,1499
ADAM22,319,304,505,505,342,164,383,639,856,337
SYPL1,1387,1323,1578,1956,1911,2334,2003,2033,1017,3715
CYB561,591,460,594,599,740,1250,1090,689,780,1773
SPAG9,3121,2091,2742,3047,2870,1476,1679,3879,7606,4828
CELSR3,874,404,1673,875,993,202,430,1021,2990,840
AASS,3077,1695,8894,3211,3257,65,144,218,368,357
PLEKHG6,408,213,431,533,332,761,894,362,99,1766
SS18L2,412,333,570,623,488,207,350,287,355,523
MPND,285,330,466,460,343,631,826,882,1014,1658
MGST1,1919,1671,2917,3003,2828,840,896,897,272,2117
CRY1,434,430,616,768,677,447,601,921,1198,1236
PGLYRP1,1,0,1,4,2,0,0,0,2,7
NFIX,602,368,106,172,641,2017,3202,2836,3808,3117
ST3GAL1,224,255,278,164,372,1223,679,775,1196,4554
MMP25,272,142,301,185,442,20,6,19,14,55
IL32,864,802,277,436,1628,1158,419,432,147,1242
PKD1,778,823,1783,1228,824,1028,555,1222,2929,2327
MAPK8IP2,93,48,100,70,102,320,326,1459,3385,1014
MED24,1928,1691,2379,2701,2547,1952,1983,2873,3714,5441
RHOBTB2,268,349,449,525,442,1608,1306,1939,2968,3779
HEATR5B,637,598,742,944,650,555,406,757,1773,1339
SEC62,3099,2296,2397,2438,2993,2630,2659,3178,3034,6078
RPS20,12099,10371,14036,16960,18595,39073,32876,36288,20706,51894
CSDE1,18108,14685,19225,20999,21253,13031,15705,20458,19043,30644
UBE3C,1650,1470,2656,2272,2298,1078,1448,1603,1786,3179
REV3L,411,455,597,553,418,496,619,995,1848,1184
TENM1,32,10,32,16,13,22,103,93,805,47
PAX7,2,2,5,5,4,43,33,84,184,222
MASP2,12,20,41,24,17,19,43,52,71,98
IYD,4,0,9,1,6,125,211,99,4,457
FAM76A,341,245,358,311,243,229,285,337,297,479
TRAF3IP3,0,1,3,4,1,13,31,21,5,87
POMT2,793,790,1055,1048,1115,622,448,561,743,2065
VTA1,1652,1395,1874,2358,2470,1302,1539,2387,2444,3297
MLXIPL,24,16,175,49,9,110,256,91,33,490
BAZ1B,2953,2917,4435,4715,3447,2048,2693,4897,5825,8301
RANBP9,1368,1040,1273,1387,1250,1077,1135,1803,1928,2668
ETV7,13,17,16,13,22,25,34,29,32,73
SPRTN,276,189,255,268,233,211,204,298,353,444
METTL13,1394,1249,1544,1679,2077,697,881,964,839,1693
DYRK4,71,61,111,124,111,389,403,377,413,797
ZNF207,5279,4747,7458,7313,7497,3249,3688,5693,5132,9565
UQCRC1,4160,3980,4685,6021,6189,3410,4580,5241,4443,9747
STARD3NL,961,795,859,1143,1265,561,729,1156,1659,1755
CD9,2339,2217,1772,3034,3241,4151,2942,1866,781,4203
HHATL,0,1,2,0,0,1,44,1,0,12
NCAPD2,3556,3985,5103,7186,6107,2228,3263,4311,4566,10009
IFFO1,253,232,298,333,244,133,218,347,507,701
GIPR,14,10,17,9,5,13,26,53,17,79
PHF7,99,65,130,115,56,76,75,134,149,157
SEMA3G,66,112,128,136,105,63,96,145,16,186
NISCH,2401,2437,3979,3573,2306,1619,1769,2360,4127,5681
STAB1,10,8,23,10,11,300,307,657,106,1309
FUZ,267,240,508,400,319,523,644,591,661,990
SLC6A13,0,5,2,3,7,41,65,54,212,279
IDS,1519,1481,1224,1508,2067,1526,1108,2858,6768,3299
PRSS3,3,2,5,2,1,238,91,179,3,521
ZNF200,402,381,620,527,529,213,251,320,462,580
CD4,30,28,73,86,25,249,270,1004,265,1077
LRRC23,20,17,46,34,26,941,274,287,248,629
BTK,15,32,24,29,20,63,37,30,7,68
HFE,12,10,49,30,12,117,211,99,81,422
SCMH1,424,359,467,407,354,642,933,1578,1219,2525
FYN,1324,1237,1819,1776,1480,1314,1436,3990,5911,3597
HIVEP2,441,303,340,357,468,692,302,593,1000,1100
FMO1,6,1,45,12,4,178,294,145,22,843
ELOA,2221,1844,2501,2309,3024,862,887,1267,1767,2509
LYPLA2,1898,1758,2234,2249,3092,1525,2311,1392,1747,3974
CLCN6,371,390,831,829,378,258,295,627,1471,780
MRC2,4520,2710,1934,1762,3446,4827,2896,8105,3757,12554
NME1-NME2,2505,1927,1926,2863,3132,1428,1671,2285,2031,3772
SLC6A7,2,1,0,6,5,7,27,16,42,40
TSPAN9,693,863,1171,1053,1277,1673,1495,2249,1330,4392
BTBD7,495,427,653,581,561,445,512,663,736,1233
APBA3,255,265,325,385,358,248,181,198,360,647
MKS1,284,275,507,498,372,285,324,431,558,757
ABHD5,358,267,486,508,355,212,215,252,227,433
ANOS1,3225,3351,3933,6736,6152,964,1148,2720,2594,2093
AKAP8L,1007,878,1753,1548,1097,906,635,1265,1956,2204
MBTD1,1478,1112,2380,2206,1646,771,787,1256,2433,1823
UTP18,1761,1349,1960,2226,2095,956,962,1206,940,1602
RNF216,1007,952,1335,1438,1511,1133,1268,1715,1895,3623
TTC19,1234,997,1632,1582,1692,995,1148,1628,2073,2039
PTBP1,12739,13231,16380,17870,21678,5255,6603,8723,6275,18706
DPF1,212,193,463,414,284,156,256,920,1659,369
SYT7,162,107,449,263,161,443,291,412,1384,958
LARS2,1131,1035,1506,1629,1707,286,579,536,757,1424
PIK3C2A,3150,2678,3653,4050,3330,762,828,951,1311,2279
PLAUR,159,167,219,183,190,296,101,305,279,822
ANLN,2597,2998,2941,4999,3055,1138,1245,1992,1090,3111
WIZ,1049,1115,1520,1671,1741,1805,1697,2800,4999,5128
GPR21,768,673,1154,1155,627,1164,950,1694,2847,2493
DCN,52,50,12,35,50,29743,30660,62566,19059,90114
QPCTL,222,213,314,297,391,305,232,315,277,821
PPP5C,1668,1703,2741,2598,1961,1110,1152,2002,2266,2686
CEP68,649,628,1486,1086,877,463,631,1225,1640,1567
MAP4K3,871,671,1177,1227,951,794,701,1078,1358,1563
ZBTB32,1,0,1,1,1,3,3,0,0,0
TYROBP,0,0,2,0,0,56,50,209,6,317
TMEM159,316,264,432,432,331,979,648,803,581,1132
GABRA3,61,51,151,121,114,152,501,682,1549,305
BRCA1,1177,997,1364,1374,1222,439,508,598,845,1390
ERCC1,447,480,820,818,626,1883,1601,2158,1860,3707
CD22,10,4,3,9,13,37,40,28,16,66
SEMA3B,92,68,223,117,198,526,722,456,393,1311
MBTPS2,582,618,721,836,921,1089,1478,2516,2115,3623
PRICKLE3,157,139,192,178,142,168,136,93,57,247
LTF,4,0,4,4,6,19,20,20,2,39
EXTL3,4849,4079,4381,4621,6708,1027,1578,2482,4008,3773
NR1H4,0,1,0,0,0,22,49,20,1,58
ELOVL5,2578,2481,3629,4363,3575,1877,1527,3040,2420,3930
ALOX5,6,5,32,8,13,66,67,30,5,136
KDM5D,40,29,5,6,42,6,12,3,4,53
CALCOCO1,632,481,424,436,737,1137,957,968,1145,2193
UBR7,802,536,859,1064,1096,401,557,1373,1181,1254
MAP4K5,1109,800,1215,1032,1185,788,841,1457,1787,2210
EHD3,390,365,414,528,456,434,364,435,553,1103
PSMC4,1313,1169,1272,1589,1878,700,780,1027,1019,1844
MAN2B2,234,304,235,307,223,966,982,1071,847,2613
SLC7A14,74,70,9,126,67,17,59,189,485,87
CLDN11,183,266,106,425,140,191,485,534,619,838
SLC25A39,2496,2271,3636,3594,3422,2198,2892,2322,1713,5685
MVP,338,270,116,156,264,1176,1149,876,361,3070
NUB1,1108,1102,1341,1512,1355,858,1055,1673,1604,2244
PGM3,1539,1553,1908,2279,2164,1178,970,2006,1677,3916
RWDD2A,130,126,169,177,138,185,207,344,401,417
CLK1,382,347,650,592,143,409,422,553,1332,713
POLR3B,644,577,799,887,813,491,525,656,499,1353
ANGEL1,426,489,794,1043,784,362,368,500,526,1117
RNF14,787,716,471,755,921,562,595,831,914,1530
DNASE1L1,110,107,279,177,135,298,481,453,377,1062
DDX11,1185,1232,3114,2597,1562,276,405,615,918,1448
HEBP1,300,299,540,531,598,1403,2126,1507,775,3238
GPRC5A,162,48,136,13,95,1417,652,354,335,2594
MAMLD1,27,23,14,16,20,129,196,537,864,468
CD6,6,2,8,9,3,28,15,9,16,60
TACC3,2867,3116,4569,5173,4281,819,1199,1851,1975,3251
UFL1,581,518,666,867,752,936,862,1204,1062,2068
POLA2,838,854,1156,1373,1363,414,625,1043,773,1881
ZC3H3,500,479,577,741,828,544,507,762,1022,1780
CAPN1,4048,4159,5193,6011,5898,5193,4675,4234,3154,11641
ACPP,216,95,62,59,48,176,64,65,19,170
MDH1,3444,3012,5696,5182,3912,2439,4632,3988,3370,6257
SLC30A9,1902,1856,3158,3012,2448,1437,2015,2928,3314,3822
MTMR11,78,68,114,75,59,656,542,335,252,876
COX15,868,782,1210,1194,1158,800,967,1068,1507,2156
CCDC88C,924,828,1282,1171,1160,1062,680,891,1447,1673
YAF2,330,335,146,185,263,180,219,358,575,524
ZMYND11,1327,934,1174,1068,1229,1464,1621,2548,2981,3733
WAS,7,10,11,17,14,140,53,50,28,132
DPEP1,21,17,83,47,18,624,1777,705,19,4402
BID,360,352,621,571,633,811,554,618,658,1477
MATR3,9399,7998,13517,12933,11736,6331,9837,19057,24025,20359
NPC1L1,2,13,23,11,2,200,417,197,6,844
XYLT2,924,863,889,1254,954,1131,839,744,667,1910
RGPD5,194,338,276,406,445,316,260,505,402,165
STMN4,14,1,2,5,4,373,457,2116,5749,1144
NUDCD3,1480,1668,1988,2603,2207,1774,2069,2546,3221,4678
ISL1,9,9,50,9,12,78,310,284,385,569
CHDH,237,239,407,350,520,406,914,554,165,1446
IL20RA,19,7,33,42,26,140,68,62,48,153
CLCA1,1,2,10,2,0,1802,6186,1931,0,1282
CLCA4,0,0,1,1,0,2,4,0,4,6
GLT8D1,598,593,838,917,619,1399,1258,1941,1649,2942
ATP2C1,2819,2421,2954,3008,2961,1869,2476,2571,2930,4315
IGF1,12,33,55,0,49,279,488,503,395,418
SLC38A5,856,639,965,755,1082,460,795,331,222,1042
RALBP1,2427,1847,2172,2899,2949,2236,1961,2340,1837,4433
RUFY3,453,482,900,836,636,857,825,2276,5750,1704
CNTN1,253,109,448,150,146,855,413,1156,1914,489
SLC11A1,12,19,18,15,4,109,36,42,25,77
WWTR1,2842,1921,733,1165,2235,870,1122,1551,875,2196
AGPS,2988,2257,2894,3448,3905,524,1159,1409,1379,2668
CXorf56,427,415,643,630,742,363,365,505,540,1094
ATP1A2,316,422,1267,1085,597,302,4876,1667,3570,3495
TTC27,635,555,792,885,994,449,465,562,439,930
ZNF582,71,44,103,84,68,70,67,96,104,144
VSIG2,3,8,21,16,15,245,278,667,3,273
PHLDB1,1060,976,1851,1713,1370,1149,1191,1859,2978,3054
MARCO,0,3,0,0,0,199,11,37,3,148
CYP24A1,0,0,3,0,4,49,13,57,102,103
PRDM11,239,233,318,419,592,1426,724,819,751,1906
SYT13,348,278,510,406,558,736,1361,2460,5929,1994
SNAI2,40,36,18,33,35,1049,920,1890,638,3310
CD74,488,204,377,212,560,1348,1412,1032,143,3644
HGF,108,99,50,46,63,208,182,553,127,1054
ZRANB1,629,561,718,774,668,671,983,1576,1915,2099
NCDN,1083,973,1317,1525,1779,532,627,1064,1797,1703
ADGRA2,549,287,142,135,509,2432,3497,7124,2706,10849
ZFP64,587,558,816,924,768,459,500,621,898,1258
MNAT1,442,350,467,566,635,303,302,329,357,735
SAMD4A,611,412,335,299,1023,343,406,444,409,1398
RUNX3,44,30,12,15,25,46,16,26,20,78
MRE11,849,954,1349,1678,1168,446,578,635,641,1439
PLEKHB1,200,195,455,171,101,143,301,207,283,520
SERPINB1,363,320,361,411,259,1410,1930,1315,198,2139
CYP3A43,2,1,4,3,0,2,1,1,8,5
SLC7A9,3,2,4,0,0,45,71,16,14,170
SPAST,926,886,1101,1421,1321,951,1040,2038,3875,2112
NRXN3,73,108,107,142,57,281,241,555,784,609
OSBPL5,241,287,315,472,225,533,351,659,624,1310
AQR,1959,2049,2335,3160,2297,1355,1400,2040,1642,3506
CPS1,340,212,702,566,890,2462,9688,2887,171,17225
C8B,0,0,1,0,0,0,4,1,1,37
FHL1,760,515,1963,923,1262,962,7598,4377,5384,7843
RTFDC1,1217,1016,1245,1621,1639,2070,2174,3200,2762,4269
GABRA1,19,10,4,7,12,20,35,14,48,20
NLRP2,338,493,1054,719,477,79,93,154,279,287
SLC45A4,358,339,538,570,596,369,488,287,463,949
RNF10,5950,4496,4646,5537,5621,3505,4133,3790,4547,6215
ZNF839,171,153,289,273,156,179,231,275,295,467
ZDHHC6,568,479,911,787,653,481,617,763,785,1153
GRAMD1B,431,291,694,629,370,240,367,338,967,653
RNH1,337,342,387,480,558,1439,977,1117,1167,3105
NDUFS1,1564,1385,1788,1967,1792,600,1218,1229,1210,1916
RB1CC1,1890,1390,2069,2249,2295,1618,815,1767,3163,2420
ERP44,1082,1084,991,1446,1409,1218,1573,1712,1312,3095
ALAS1,970,786,1059,1174,1185,1066,973,1290,1081,1813
BIRC3,12,5,24,20,12,222,46,19,14,92
AKAP11,928,819,1242,1359,999,952,954,2291,3515,2467
GLRX2,84,87,66,112,134,82,72,106,63,149
SNAPC1,254,101,264,353,323,171,82,219,264,293
DERA,425,362,740,668,617,733,876,1144,538,1965
STRAP,4776,4045,5986,6638,6617,3662,3942,7257,6092,8772
ABCC2,11,14,47,18,25,165,150,79,34,546
DEF6,214,100,143,191,194,264,154,175,57,475
PLEKHO1,699,801,964,1110,1242,984,1093,1900,2747,3173
GCLM,1034,819,649,669,712,433,404,450,343,1164
UBR2,896,797,1031,1288,1060,637,791,744,1130,1649
EHD2,997,990,637,951,1418,2923,1839,4371,1194,8043
DEPDC1,989,993,1216,2047,1436,247,484,781,513,1305
CCDC28A,193,152,264,285,242,206,223,193,189,362
RRAGD,273,206,356,362,262,463,489,770,881,856
HSF2,407,411,565,624,360,440,641,1160,1665,1414
PHF20,1720,1418,2103,2636,2137,826,777,1464,2086,2265
HSD17B6,48,37,35,58,52,32,33,84,66,93
NR1H3,170,163,280,372,238,467,871,426,178,1183
TYMP,11,11,11,9,14,641,173,364,130,1124
NCAPH2,840,868,1268,1406,1449,1021,1285,2210,1983,3124
TOMM34,805,709,930,1104,945,1067,1080,957,651,2189
SEC63,2873,2822,2998,3211,3935,2407,2951,5090,3018,6488
KPNA6,2607,2664,3110,3517,3651,1154,1251,1462,2195,2746
VIM,34648,36714,12520,33189,57171,60003,52735,113856,109037,137599
RTEL1,53,74,225,73,72,22,28,64,273,202
FAS,134,104,118,99,229,93,138,149,119,206
RNASET2,252,192,276,259,257,1096,965,913,545,2710
CD44,1730,1228,435,785,2864,1266,802,1361,338,4150
KCNG1,489,731,451,854,724,554,177,396,998,626
AGPAT4,558,626,1130,1058,601,344,367,753,1788,2086
SLAMF7,1,0,2,1,5,11,7,2,1,10
BTN3A1,68,42,80,82,36,182,293,236,278,507
MIPEP,361,270,526,491,456,643,616,527,396,1097
PRKCH,93,72,124,98,94,412,159,172,108,519
INSRR,1,0,0,0,0,1,2,17,6,2
IFNGR1,465,474,834,792,518,666,860,820,688,1371
B4GALT7,380,413,532,490,527,529,612,616,722,1485
SH2D2A,46,37,50,61,54,32,40,24,25,78
VRK2,525,471,745,778,863,414,334,483,251,1008
TNFRSF1B,51,47,52,52,56,243,231,590,48,1184
VEZT,1301,1330,1844,2076,1582,1351,1401,2401,3635,3337
POU2F2,111,111,178,160,225,218,204,310,1308,457
BRD9,777,965,1416,1271,1244,579,750,1052,1424,1792
SNX1,1193,1150,1657,1780,1472,1582,1617,1883,1719,4467
TBPL1,802,608,1012,1055,908,393,465,635,799,841
ARNTL2,564,460,749,766,902,154,165,311,122,867
