gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
LCE6A,0,0,0,0,0,0,0,0,0,0,0,0
EGOT,0,0,0,0,1,0,0,0,0,0,0,0
LOC100419685,0,0,0,0,0,0,0,0,0,0,0,0
TTC28-AS1,592,847,781,877,974,814,703,865,889,982,1014,789
UBOX5-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PNMA6A,236,590,338,411,408,231,225,449,159,228,457,274
RPL7AP53,0,0,1,0,0,0,0,2,1,0,0,0
MCCD1P1,0,0,0,0,0,0,0,0,0,0,0,0
OR12D2,0,0,0,0,0,0,0,0,0,0,0,0
LOC100130620,0,0,0,0,0,0,0,0,0,0,0,0
H2BP8,0,0,0,0,0,0,0,0,0,0,0,0
GPC5-AS1,0,0,0,0,0,0,0,1,0,0,0,0
AIF1,0,0,0,0,0,0,0,0,0,0,0,0
GNL1,15,9,15,20,21,26,36,39,31,43,39,30
MORC2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP20,0,0,8,5,4,0,1,0,0,0,1,0
HGC6.3,2,0,2,7,0,4,7,1,0,1,11,1
UBE2V1P6,0,0,0,0,0,0,0,0,0,0,0,0
TAAR7P,0,0,0,0,0,0,0,0,0,0,0,0
RPL9P12,0,0,0,0,0,0,0,0,0,0,0,0
LINC00243,0,0,0,0,0,0,0,2,0,0,0,0
MTCO1P46,0,2,0,0,0,0,0,0,0,0,0,0
LINC01814,435,408,746,648,950,837,476,628,826,1205,1396,1206
GPANK1,3,0,12,0,0,22,0,0,0,0,0,0
LOC100507477,3,2,3,0,5,6,0,2,0,3,0,0
VPS52,0,0,0,0,0,0,2,0,0,0,0,0
PRRX2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
PATE3,0,0,0,0,0,0,0,0,0,0,0,0
OR5H14,0,0,0,0,0,0,0,0,0,0,0,0
LINC00445,0,0,0,0,0,0,0,0,0,0,0,0
LINC02889,0,0,0,0,0,0,0,0,9,11,41,6
CHIAP1,0,0,0,0,0,0,0,0,0,0,0,0
COX6CP18,0,0,0,0,0,0,0,0,0,0,0,0
LOC100129947,0,0,0,0,0,0,0,0,0,0,0,0
RPL13AP12,0,28,4,0,6,4,1,6,4,3,0,4
SSBL5P,1,0,3,1,1,1,2,1,1,0,2,1
LINC01920,0,0,0,0,0,0,0,0,0,0,0,0
MYCBP2-AS1,0,5,15,7,4,2,2,1,2,2,6,0
LINC01643,0,0,0,0,0,0,0,0,0,0,0,0
RPL17P36,2,3,1,2,1,1,1,0,1,4,1,2
LOC101928335,0,0,1,0,1,0,0,1,0,0,0,0
SRSF2P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01072,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A14P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC01447,90,169,158,116,109,109,132,237,125,168,137,166
ELFN1-AS1,90,11,115,56,58,80,90,42,58,93,69,96
OR13E1P,0,0,0,0,0,0,0,0,0,0,0,0
COX10-AS1,649,585,790,674,1061,862,663,788,826,1030,1259,859
LINC02243,0,0,0,1,0,0,0,0,0,0,0,0
LINC00545,0,0,0,0,0,0,0,0,0,0,0,0
BNIP3P2,0,0,0,0,0,0,0,0,0,0,0,0
RAC1P7,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB22,409,112,536,482,528,527,505,248,420,595,458,353
LOC112268411,0,0,0,0,0,0,0,0,0,0,0,0
SCN1A-AS1,21,20,21,12,27,23,14,33,30,30,17,14
LOC105373525,0,0,0,0,0,0,0,0,0,0,0,0
OR2AM1P,0,0,0,0,0,0,0,0,0,0,0,0
RPL6P1,1,1,2,0,2,2,2,0,0,4,0,0
LOC100130881,0,0,0,0,0,0,0,0,0,0,0,0
