gene_name,1-2B-8-3:_K562_cells_RBM48_KO_#1,2-2B-9-4:_K562_cells_RBM48_KO_#2,3-2B-10-5:_K562_cells_RBM48_KO_#3,4-2B-11-6:_K562_cells_RBM48_KO_#4,5-2B-12-7:_K562_cells_RBM48_KO_#5,6-2B-13-8:_K562_cells_RBM48_KO_#6,7-VC-8-3:_K562_cells_Vector_Control_#1,8-VC-9-4:_K562_cells_Vector_Control_#2,9-VC-10-5:_K562_cells_Vector_Control_#3,10-VC-11-6:_K562_cells_Vector_Control_#4,11-VC-12-7:_K562_cells_Vector_Control_#5,12-VC-13-8:_K562_cells_Vector_Control_#6
TSPAN6,8,26,28,10,29,34,13,46,10,33,22,48
TNMD,2,0,4,1,0,0,0,0,0,0,0,0
DPM1,4811,3218,3575,3479,3288,4725,4677,3013,4213,5165,3849,3588
SCYL3,790,367,1016,831,933,1137,1053,611,1112,1279,851,1040
C1orf112,3823,1309,2861,3004,2601,3306,3599,1571,3240,4032,3228,3026
FGR,0,2,4,4,0,0,0,2,0,0,0,4
CFH,5380,11251,9274,10695,12147,8234,6026,11949,12684,17361,21658,16124
FUCA2,7942,5619,6772,6455,5806,7619,7435,4520,7687,8720,6649,6327
GCLC,1314,2633,1432,1863,1498,1138,1142,1979,1076,1762,1844,1801
NFYA,2995,2388,2509,2722,2094,2684,2472,1822,2720,3140,2680,2726
STPG1,623,424,619,536,531,695,761,489,822,790,615,559
NIPAL3,2197,1643,2601,2558,2500,3090,3420,1834,2859,3625,2400,2316
LAS1L,10263,4025,6632,4896,4802,8207,9457,3672,7989,9065,5538,5055
ENPP4,0,1,0,3,1,0,0,0,0,0,0,0
SEMA3F,319,272,134,111,169,171,209,119,160,189,106,83
CFTR,0,0,0,0,0,0,0,0,0,0,0,0
ANKIB1,2505,5322,2128,2949,3331,2891,2887,3713,3201,3989,4036,2951
CYP51A1,10483,21104,8678,9131,8250,15913,13135,15478,15479,18058,10089,7901
KRIT1,3819,2867,4074,3929,4890,5457,4456,2624,5314,6280,5691,4041
RAD52,695,522,483,495,610,635,633,392,613,696,735,372
BAD,346,391,269,366,336,246,287,510,329,315,355,281
LAP3,7059,2743,4011,4223,3761,5565,5836,1898,5241,6096,4258,3642
CD99,2217,4825,2658,3245,3314,2307,1620,2807,1355,1991,2366,2148
HS3ST1,4,13,2,7,50,9,4,5,7,7,5,33
AOC1,0,0,0,0,0,0,0,0,0,0,0,0
WNT16,0,3,1,2,0,0,0,0,0,0,0,0
HECW1,3,58,35,39,102,30,11,7,90,4,86,69
MAD1L1,2686,1732,2056,2885,2977,2204,1913,1713,1371,2133,2378,2039
LASP1,14140,17647,12636,16690,15283,14611,12905,16799,13362,16694,16193,14497
SNX11,1404,1743,1441,1346,1394,1751,1273,1215,1563,1596,1346,1023
TMEM176A,1,7,3,11,18,8,0,1,15,12,10,14
M6PR,7450,9321,6201,6766,7052,6100,6348,6281,5769,7290,7209,7330
KLHL13,88,144,212,464,331,364,228,464,307,774,841,622
CYP26B1,9,0,1,6,3,2,4,4,0,3,0,0
ICA1,1051,3014,2139,2248,2706,2086,1745,2192,2085,2363,3587,2370
DBNDD1,674,680,519,462,611,444,611,605,458,596,556,387
ALS2,1789,1669,2022,2462,2203,1881,1921,1824,1964,2282,2736,2675
CASP10,1293,1516,1932,1689,1600,2233,2015,1326,1652,2849,2365,1527
CFLAR,7152,4520,6155,5878,6067,9274,8803,3310,8496,9702,6790,5490
TFPI,5964,4918,6242,6115,5608,6175,6335,3721,7526,9614,7215,5970
NDUFAF7,1495,873,1099,1001,1193,1271,1717,868,1274,1568,1392,1162
RBM5,4153,8206,4785,4696,5076,4936,4963,6165,5512,6030,6200,4801
MTMR7,1,0,1,13,1,9,0,8,5,4,2,1
SLC7A2,1,9,13,36,9,2,0,27,9,0,41,22
ARF5,4845,5484,4400,5142,5219,5047,4520,3906,4708,5483,5964,4072
SARM1,27,63,72,182,120,22,20,77,45,107,74,89
POLDIP2,6720,3368,4993,4975,5075,5856,5921,3620,5455,6307,4859,4664
PLXND1,1359,2455,1193,1119,1742,1231,2004,2324,1867,2102,1812,902
AK2,37062,24230,21441,20423,22648,31266,30930,17551,29360,34624,21016,19532
CD38,28,13,106,17,33,2,2,22,11,50,56,34
FKBP4,16372,12233,5746,4117,5359,7710,11582,6812,8062,9633,5498,4389
KDM1A,18456,12853,13711,13445,13014,16687,18038,11554,15828,19055,14284,12639
RBM6,5554,7406,3784,3258,3782,4906,5595,5280,4774,6367,4001,3699
CAMKK1,729,557,349,349,320,346,521,600,482,540,375,294
RECQL,3302,5121,3695,4202,4718,4623,3495,4649,4909,5206,4427,4222
VPS50,1463,962,1464,1559,1443,2165,1228,978,1843,1978,1770,1367
HSPB6,2,10,18,18,18,17,16,12,11,18,24,21
ARHGAP33,238,382,381,325,659,286,278,403,1204,457,354,326
NDUFAB1,5729,3589,3589,3195,3299,5133,5851,2561,4802,5812,3657,2815
PDK4,10,86,26,18,54,33,20,48,25,51,44,31
SLC22A16,0,0,0,0,0,0,0,0,0,0,0,0
ZMYND10,24,171,31,20,75,25,52,183,43,89,63,16
ABCB5,20,14,19,24,22,21,28,29,22,19,18,31
ARX,0,0,0,0,2,0,1,0,0,1,0,0
SLC25A13,7116,2973,6369,7271,7400,7003,6962,2669,5964,7483,6949,7153
ST7,3544,2204,3277,4369,3672,3580,3614,2572,3174,4081,4054,4090
CDC27,8985,4349,8008,8316,7815,10095,8990,4544,11027,12859,9176,8889
SLC4A1,145,76,78,95,143,105,101,100,139,103,228,48
CALCR,5,9,30,23,34,8,8,9,11,9,13,35
HCCS,3685,2442,2151,2064,1957,2718,2961,1941,2593,3100,2069,1902
DVL2,1985,3129,2587,2836,2136,2085,2208,2372,1632,2382,2201,2470
PRSS22,0,12,0,3,2,0,0,9,0,0,1,0
UPF1,8980,11406,8196,8793,8391,9275,8973,8875,7501,9546,7942,7112
SKAP2,1407,1786,1563,2544,2278,2239,1939,1990,1828,2496,2641,2773
SLC25A5,34326,52852,31235,35388,31542,35780,35076,41030,31745,37000,31531,31206
MCUB,318,790,521,656,885,610,555,903,375,508,570,543
HOXA11,0,0,0,0,0,0,0,0,0,0,0,0
POLR2J,2620,2457,2137,2220,2019,2231,2243,1931,1928,2755,2302,1918
DHX33,2870,624,1786,1804,1880,2370,2352,648,2164,2391,1724,1641
MEOX1,0,0,0,0,0,0,0,0,0,0,0,0
THSD7A,1,0,0,0,0,0,0,0,0,0,0,0
LIG3,4175,6497,3750,4259,4456,5130,5884,6561,4435,7234,5821,4324
RPAP3,5732,3439,4237,3885,4047,5539,4738,2993,5429,6370,5397,3939
ACSM3,7016,39304,27971,29298,30612,16420,14087,38104,14580,23198,37639,36033
REXO5,2114,2712,3625,3341,3619,3616,3246,3152,3465,4171,4447,3358
CIAPIN1,5492,3313,3712,3829,3721,4527,4722,2845,4121,4878,3598,3140
SPPL2B,2260,2573,2530,2487,3193,2632,2781,3032,2994,3448,3017,2539
FAM214B,378,1073,533,696,608,460,366,679,442,500,622,507
COPZ2,0,9,17,39,12,3,4,33,14,3,36,43
PRKAR2B,23473,12078,18012,20038,22126,31020,30067,11689,32899,39504,26525,19746
MSL3,1722,2164,2343,2155,2573,2614,2096,1539,2346,3252,2200,2069
CREBBP,2186,2320,2861,3016,2318,2786,3135,2162,2621,3029,2966,3159
TSPOAP1,138,173,205,268,231,179,122,304,268,177,386,371
MPO,3,2,2,15,23,3,1,12,10,11,7,5
PON1,0,0,4,0,1,0,0,0,0,0,0,0
GCFC2,1703,1342,980,964,1226,1330,1808,688,1567,1723,1664,967
WDR54,110,175,242,286,260,231,83,157,159,250,256,303
CROT,396,557,527,445,465,481,413,346,425,595,558,471
ABCB4,9,260,112,93,148,51,21,287,58,28,105,80
KMT2E,4254,5462,5182,5407,5204,5701,4960,5046,6305,6953,7198,5296
RHBDD2,1902,4627,2918,3329,3669,2854,2590,4183,2132,2794,3534,3019
SOX8,2,1,0,2,0,7,4,0,2,2,5,6
ZNF195,2220,1268,3176,2573,3366,3463,3064,1709,3350,3917,4568,3048
MYCBP2,5114,1877,3735,3165,3367,4649,4049,2112,4874,5275,4769,4305
FBXL3,1172,1244,1461,1353,1252,1436,1104,960,1103,1511,1082,1441
ITGAL,21,58,23,38,30,73,14,37,27,58,32,24
PDK2,81,64,61,93,54,109,55,90,75,60,236,41
ITGA3,17,155,72,69,75,71,39,77,42,184,130,158
ZFX,1345,1805,1778,1774,1758,1694,2090,1651,1881,1938,1969,2417
LAMP2,5390,12292,8877,11751,10550,8066,6951,11346,7749,10233,13246,12992
ITGA2B,392,440,624,924,1024,572,705,463,790,1028,1374,714
ASB4,1,0,5,7,18,0,3,6,2,17,15,0
GDE1,2866,4225,2967,3385,3549,3202,3097,4464,3043,4128,4051,2273
REX1BD,842,1380,1280,1138,1161,1203,1126,1156,753,1147,892,869
CRLF1,90,80,23,23,58,89,82,47,14,57,19,9
OSBPL7,558,1241,644,592,767,642,536,741,680,766,787,688
TMEM98,3163,1867,3212,3167,2888,3373,3545,2357,3946,4126,3592,2932
YBX2,0,2,0,1,0,0,0,0,4,0,2,0
KRT33A,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K14,355,485,353,331,425,409,321,410,446,571,465,339
ABCC8,27,3,1,8,14,0,6,43,0,0,0,0
CACNG3,0,0,0,0,0,0,0,0,0,0,0,0
TMEM132A,9,30,11,11,30,27,24,19,8,62,9,7
AP2B1,30442,27226,29334,28023,28884,34552,36768,20136,34030,41633,35574,29090
TAC1,0,120,44,45,52,6,6,105,6,18,36,44
ZNF263,2063,2170,1899,2144,1725,1642,1903,2211,1471,1716,1975,1889
CX3CL1,9,8,10,5,8,9,8,8,13,11,0,11
SPATA20,73,500,248,337,302,165,118,409,190,204,303,149
CACNA1G,1,2,3,4,4,0,0,4,0,0,0,14
TNFRSF12A,868,865,532,587,568,598,508,459,558,757,446,477
DLX6,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K9,86,196,79,103,121,82,68,196,48,97,76,53
RALA,3725,9827,5312,6063,7946,5393,4515,9432,4723,6027,8364,6535
BAIAP2L1,2191,3566,2321,2440,2826,2598,2194,2713,2059,2340,2739,1915
KDM7A,1627,8791,3511,4038,5314,3353,2983,6032,3249,4915,6020,3638
ETV1,1839,1850,3686,3643,2956,4074,4338,1478,3087,4890,5543,3467
AGK,4284,2960,4128,3008,4054,5362,5359,2740,5317,6285,4500,3564
ALDH3B1,35,123,85,109,92,34,47,170,59,52,121,108
TTC22,0,19,3,8,15,10,3,10,1,10,15,0
PHTF2,2987,7196,3913,3909,4448,4991,3904,4092,4781,6102,6461,4206
CCL26,181,35,77,53,33,96,163,38,94,102,34,11
FARP2,2446,1305,1522,1386,1572,1715,2059,1061,2249,2041,1835,1412
USH1C,0,4,0,0,0,0,0,2,0,0,0,0
GGCT,5241,7107,5920,5957,6740,6329,6168,5704,6076,7357,7300,5892
DBF4,7277,3140,5050,4309,3958,5978,5871,2773,6482,7269,5904,4765
TBXA2R,629,255,394,432,475,722,524,209,968,706,552,337
IFRD1,5866,10094,8482,7381,9774,10291,9047,8227,8245,11061,10597,7499
LGALS14,0,2,1,0,3,0,0,1,0,0,0,0
COX10,1480,854,1032,916,1125,1447,1463,827,1299,1409,1163,1010
GTF2IRD1,1521,2266,1377,1277,1548,1472,1671,2337,1543,1760,1778,1343
PAF1,2835,2758,2149,2574,2211,2412,2682,2282,2555,3212,2490,2110
VPS41,3386,3742,3768,5241,4530,4062,3739,4063,4984,5044,4742,5240
ARHGAP44,9,48,14,23,16,19,33,14,13,15,9,19
ELAC2,6408,2123,2650,2857,2616,3811,4785,2393,3793,4763,2962,3185
SCIN,1811,4177,4493,5766,5990,4196,1862,2505,1505,1977,2781,2625
ARSD,5,24,11,24,19,11,11,25,4,12,58,7
PNPLA4,944,1054,1037,1218,1189,1058,1089,819,918,1433,1393,900
MYH13,0,1,0,0,0,0,0,0,0,0,0,0
ADIPOR2,7665,5060,6660,6708,6568,8232,9058,5543,8672,9850,7631,6566
CDKL3,78,103,83,158,175,64,99,117,162,162,204,58
UPP2,0,0,0,0,0,0,0,0,0,0,0,0
MARK4,1435,3849,1342,1570,1863,1230,1659,2654,1827,2118,1972,2347
PROM1,0,1,0,0,0,0,0,12,0,0,0,1
CCDC124,4603,1842,2256,2128,2051,3287,3723,1567,3456,3501,2145,1595
CEACAM21,0,74,43,36,27,6,3,119,1,8,41,60
PAFAH1B1,6432,11971,4866,5820,5375,6627,6969,8989,6160,7320,7604,5813
NOS2,0,0,1,0,0,0,0,0,5,0,0,0
DNAH9,3,7,16,9,13,5,6,14,10,9,0,3
KIAA0100,18858,15626,12636,13228,13922,14004,18328,13515,14410,18294,14852,14597
SLC13A2,0,0,0,0,0,0,0,0,0,0,0,0
GAS7,6,57,38,93,68,14,4,39,14,10,53,31
TRAPPC6A,470,1627,1226,1409,1726,1032,805,1222,763,1043,1484,1058
MATK,2008,1870,1690,1251,1911,1883,2146,1700,1448,2098,1795,1178
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,6,28,6,8,30,20,1,18,9,4,0,4
SCN4A,60,61,362,212,352,416,232,132,193,413,317,348
ST7L,865,1091,1157,1132,1292,1226,1137,996,1401,1473,1246,1055
TKTL1,21,201,52,98,104,29,33,645,48,48,111,128
PAX6,242,2175,2551,2625,2549,1256,382,2262,610,1342,3243,2860
RPUSD1,2040,206,699,831,625,646,891,304,701,804,776,565
RHBDF1,333,1841,240,277,376,225,310,898,268,388,310,242
LUC7L,2962,3072,1920,1532,2232,2370,2644,2470,2664,3247,2657,1672
CACNA2D2,39,50,34,23,13,28,54,34,15,42,17,17
BAIAP3,123,1771,572,297,409,239,163,1297,104,418,835,287
TSR3,1817,1229,1120,1266,1171,1340,1306,1053,981,1257,952,746
PIGQ,1250,526,1479,1367,1017,1444,1321,740,1089,1170,1191,1453
CRAMP1,2505,1566,1896,1992,1985,2143,1983,1615,1580,2478,2003,2025
TEAD3,655,1075,672,631,751,603,787,915,571,807,672,615
SELE,0,1,0,0,0,0,0,0,0,0,0,0
DNAJC11,10377,1697,5482,5056,4576,6858,8086,2758,6924,8348,4113,4541
FMO3,3,26,6,5,14,9,4,16,12,11,6,12
MYLIP,2477,3884,2400,2634,2447,2439,2204,2991,1977,2515,2359,2314
NOX1,0,0,0,0,0,0,1,0,0,0,0,0
PSMB1,20147,14858,13760,14032,12970,18036,20361,12198,18092,21506,14666,12913
SYN1,27,42,13,41,39,21,22,27,42,35,36,26
JARID2,3921,4231,3503,3615,3330,4039,4322,3786,4243,4829,4020,3559
CDKL5,74,367,103,137,146,126,229,232,158,133,122,84
CAMK1G,0,0,0,4,2,0,0,0,0,0,0,0
CDK11A,3591,4213,2816,2888,2896,3140,3417,3701,3540,4176,3024,2667
NADK,7206,4664,5118,5617,5826,6463,6278,4196,5505,7312,6055,5454
TFAP2B,2,0,0,0,0,1,1,20,13,1,12,2
TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0
DLEC1,5,8,0,2,8,3,10,8,2,5,3,0
CYTH3,1931,1971,2263,2424,2176,1958,1831,1976,1849,2245,2687,2209
ADAM22,52,99,159,99,123,131,93,60,249,68,350,59
SYPL1,7768,9598,9134,10468,9216,9240,8400,8677,7805,10437,10842,11270
CYB561,1650,1312,1374,2029,2071,1548,1355,1359,1303,1565,2054,1661
SPAG9,8550,27955,9618,10329,12117,10562,10767,20721,11807,14372,13226,11588
CELSR3,291,141,564,392,409,474,485,315,534,658,409,637
AASS,73,214,87,80,93,85,65,180,97,126,84,121
PLEKHG6,13,67,6,0,15,13,13,44,8,13,0,2
SS18L2,1988,1454,1342,1259,1304,1440,1653,1273,1404,1752,1285,1277
MPND,473,449,357,342,373,423,367,289,414,469,516,305
MGST1,1859,1125,1260,1234,1452,1938,1790,927,2425,2886,2071,1502
CRY1,3603,4795,3189,3181,3245,4270,4005,3115,4182,5298,3900,2993
PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0
NFIX,971,509,626,647,502,611,686,605,602,755,518,534
ST3GAL1,639,1707,913,1457,1267,1144,885,1442,727,1014,1286,1371
MMP25,9,1,1,3,0,1,0,1,3,0,0,0
IL32,7,70,21,17,41,17,6,101,3,24,10,19
PKD1,4165,5822,4659,4657,5237,4458,5238,5107,3691,5190,4848,4491
MAPK8IP2,38,83,26,38,13,18,10,65,14,25,35,16
MED24,5645,6180,3811,3652,3714,4320,5238,4086,4529,5550,4222,2997
RHOBTB2,125,51,196,181,123,90,71,49,158,56,91,103
HEATR5B,1947,1999,2044,2592,2422,2850,2363,1601,2700,2963,2729,2159
SEC62,6998,7618,5154,5073,5224,6626,6070,6975,7229,8530,6860,5498
RPS20,33674,45533,34613,38385,31394,32824,35519,37455,29368,34962,33333,31394
CSDE1,57691,57353,46256,48294,43718,51928,54797,38019,56907,64081,52241,50580
UBE3C,9124,6681,7291,6811,7215,9466,10340,6528,9288,10699,7536,6836
REV3L,1866,1856,2384,2265,3136,2644,2050,2435,2913,3828,3825,3328
TENM1,596,2201,1103,1129,2593,612,1578,3531,1548,2408,4779,4990
PAX7,0,0,0,0,0,1,0,2,0,0,0,0
MASP2,3,1,17,2,1,1,6,0,1,15,7,0
IYD,9,40,35,27,23,22,23,18,43,33,21,12
FAM76A,874,1086,709,689,760,1035,828,849,819,1080,896,699
TRAF3IP3,2,5,17,27,9,9,4,6,14,24,13,21
POMT2,814,561,638,788,820,1186,735,320,1053,1138,825,720
VTA1,5807,3736,4972,4706,5067,5950,6097,3426,5846,7149,5848,5027
MLXIPL,180,2393,823,670,943,277,399,2785,339,623,1232,879
BAZ1B,19053,12253,17324,17652,19016,20354,23109,13969,20474,24311,20323,17873
RANBP9,8156,9865,8241,9276,8483,9847,9640,8250,9337,11528,10802,8017
ETV7,3,10,11,9,5,7,10,27,8,5,2,8
SPRTN,2082,1273,1871,1681,1642,2165,2141,1250,1724,2312,1846,1702
EEF1AKNMT,6892,2606,3280,3091,2962,3882,3980,2235,3588,4173,3489,3059
DYRK4,287,664,371,492,481,338,349,650,355,459,610,517
ZNF207,18885,20301,15809,18530,16182,18306,18482,14361,19686,20571,19768,18155
UQCRC1,11197,9674,8014,8418,6813,9161,9318,7485,8641,10998,7684,6658
STARD3NL,2518,2464,2704,2909,2658,3115,3111,2271,3089,3469,3467,2924
CD9,43,200,87,90,71,62,35,82,23,44,46,69
HHATL,1,0,0,0,0,0,0,0,0,0,0,0
NCAPD2,11869,12321,11211,13421,11456,14263,14462,9488,14008,16387,12252,12606
IFFO1,5,2,1,12,16,3,2,8,3,3,10,0
GIPR,736,1901,1094,813,1260,1023,974,1953,1041,1499,1296,1296
PHF7,444,375,788,875,890,770,602,461,815,825,872,823
SEMA3G,3,21,10,5,6,3,5,17,3,6,7,3
NISCH,2358,7303,3547,3535,4838,3361,3351,6274,3536,4384,4284,3742
STAB1,69,62,80,16,36,123,169,54,91,106,26,33
FUZ,225,55,222,142,200,251,307,156,188,287,143,203
SLC6A13,2,25,8,20,72,9,0,14,4,18,67,94
IDS,1826,4770,2730,2993,3623,2780,2343,3711,2580,3261,3803,2781
PRSS3,4,17,3,5,9,2,2,5,0,6,7,0
ZNF200,809,289,973,1001,949,1004,995,679,1011,1302,1282,932
CD4,6,14,63,40,28,12,11,6,35,6,34,44
LRRC23,175,529,295,284,369,268,235,459,280,340,460,319
BTK,4864,3833,4965,5200,5626,5740,6167,4080,5731,7433,6316,4984
HFE,167,92,164,244,172,195,99,124,164,251,211,191
SCMH1,2181,2899,2779,3873,3872,3134,2493,2761,2260,3102,3704,3110
FYN,976,1523,2004,2269,2071,1556,1533,1774,1852,2463,2793,1982
HIVEP2,48,104,109,606,590,108,92,107,96,109,139,124
FMO1,0,0,0,3,0,0,0,0,0,0,0,0
ELOA,7974,3965,4474,4489,4250,5046,5575,2823,5148,6229,4703,4377
LYPLA2,5556,2815,2589,3225,2504,3260,3904,2475,3182,3444,2727,2379
CLCN6,2027,6818,2010,2175,2303,2631,1888,4567,2938,2701,2483,2198
MRC2,1041,1906,1156,1388,2205,1807,1181,1938,1449,1927,1944,1276
NME1-NME2,657,1130,354,336,219,364,532,494,433,626,264,293
SLC6A7,0,0,0,5,0,0,0,0,0,0,0,0
TSPAN9,77,254,101,233,185,103,70,157,73,135,134,143
APBA3,827,994,645,639,821,667,641,925,504,751,549,518
MKS1,1302,1527,1429,1415,1538,1711,1694,1244,1821,2065,1711,1128
ABHD5,1953,2284,2421,2437,2356,2005,2219,2207,1916,2503,2474,2373
ANOS1,0,0,0,1,2,0,0,1,0,0,0,0
AKAP8L,4194,6060,3276,3891,4222,4099,3835,5170,4178,5053,4745,3307
MBTD1,2705,1426,3110,3302,3549,3526,3446,2055,3561,4476,4201,3388
UTP18,6774,4165,4024,4074,4305,4772,5723,3829,4498,5256,4534,3921
RNF216,3953,3950,3480,3456,4523,4104,4828,4635,3971,4769,4507,3484
TTC19,2973,3061,4030,3800,4457,4205,4059,2619,3794,4688,4985,3714
PTBP1,27489,16571,19880,20950,18777,21802,25451,13931,20069,24889,19854,16365
DPF1,236,73,151,102,126,199,197,84,242,203,94,82
SYT7,17,76,17,15,23,10,14,56,19,20,1,9
LARS2,5807,2076,3235,2746,2711,4618,5101,1934,4356,4870,3340,3104
PIK3C2A,2398,5413,2254,1909,3376,2636,1630,5560,3221,4752,6568,4328
PLAUR,526,1023,629,617,695,734,669,680,707,792,969,557
ANLN,5535,5832,5183,4792,4389,5828,5478,4507,6018,7129,5390,5020
WIZ,2263,1312,1919,1704,1662,1874,2215,1339,1629,2027,1641,1314
RABGAP1,1839,2516,1863,2089,2482,2071,2502,2355,2242,2528,2493,2552
DCN,20,19,6,45,10,23,9,8,2,8,53,53
QPCTL,1456,2374,1194,1198,1162,1570,1437,1762,1354,1813,1321,981
PPP5C,5575,3295,4432,3771,3922,5309,5994,3082,4934,5606,4463,3764
CEP68,826,1088,1777,1769,1803,1462,1697,1493,1498,2100,2614,1956
MAP4K3,970,1761,1600,1731,2043,1782,1517,1433,1997,2518,3082,2251
ZBTB32,0,0,0,0,0,0,1,0,0,0,0,0
TYROBP,14,67,76,112,100,49,38,62,63,58,72,47
TMEM159,769,2638,937,1158,960,966,1020,1692,897,1303,1171,1152
GABRA3,270,121,281,360,390,324,258,203,208,346,531,264
BRCA1,5889,4014,9489,8507,11321,9149,8743,7720,9098,12770,12150,10144
ERCC1,2272,3298,2578,3487,3293,2976,2546,3141,2554,3579,4289,2570
CD22,158,210,110,119,148,136,201,180,144,227,266,105
SEMA3B,34,210,118,110,170,69,78,264,87,97,240,135
MBTPS2,1973,1371,3022,2895,3369,3298,3089,1866,2713,3705,3972,3148
PRICKLE3,1659,1094,970,860,987,1116,1296,953,1381,1399,1141,931
LTF,4,10,36,12,1,0,6,5,0,0,5,5
EXTL3,2695,4562,2695,2853,2891,2703,2595,4085,2111,3342,3523,4428
NR1H4,0,8,7,5,4,0,1,6,2,9,0,2
ELOVL5,15731,27628,16796,18304,18382,20186,20978,22199,19347,24246,21169,18568
ALOX5,73,470,330,226,276,160,148,557,80,238,412,402
KDM5D,0,0,0,1,0,0,0,0,0,0,0,0
CALCOCO1,435,1766,1361,2124,2051,1405,828,1920,1040,1575,2096,1368
UBR7,185,114,157,212,114,245,160,120,49,200,91,181
MAP4K5,2173,2221,2222,2116,2546,2655,2722,2925,2943,2689,2425,2232
EHD3,11,10,8,27,26,11,18,30,15,10,6,26
MAN2B2,728,1736,1298,2031,1945,1017,815,1872,935,1429,1777,1887
SLC7A14,79,115,63,26,78,103,143,158,10,14,101,138
CLDN11,37,45,47,30,52,51,58,39,22,41,51,49
SLC25A39,9218,7931,7487,7088,8089,7982,8511,5893,6940,8813,7443,6421
MVP,120,1107,144,238,257,148,141,949,95,152,420,134
NUB1,6437,13552,6826,6474,7647,8609,7750,11262,8006,9597,10013,7745
PGM3,5619,14792,4828,6018,8584,5956,6386,12891,6521,9546,9641,6440
RWDD2A,346,239,472,552,855,501,437,525,612,602,798,498
CLK1,1316,5538,2380,2745,3339,2168,1378,3776,2181,3013,3503,3072
POLR3B,2016,1271,2012,1927,2064,2594,2539,1697,2287,2704,2257,2178
ANGEL1,1396,1274,1322,1209,1259,1877,1935,1088,1682,2207,1330,1097
RNF14,5287,6167,5994,6324,6029,6742,6149,4522,5321,6970,6815,5745
DNASE1L1,697,1341,897,908,974,937,736,1224,900,1118,997,906
DDX11,4349,3988,3926,3074,3814,4384,4697,3189,4742,5233,4336,3853
HEBP1,268,1024,426,434,495,429,294,724,316,369,409,448
GPRC5A,2,37,26,27,11,4,3,29,4,6,4,48
MAMLD1,1,1,1,0,1,1,0,5,0,0,0,5
CD6,0,2,0,0,0,0,0,0,0,0,0,0
TACC3,7906,5225,6231,6754,5683,6484,7122,4545,7136,7642,5948,5920
UFL1,3022,7210,4425,4377,5654,5603,4257,6842,5009,6787,6760,4765
POLA2,3132,2860,3418,2768,3436,3375,3357,3538,3089,4259,3398,3032
ZC3H3,1320,1710,951,1182,1261,1125,1117,1301,931,1207,1320,935
CAPN1,9351,6139,6504,8536,7016,8455,7689,6096,7894,9270,8632,8262
ACP3,25,49,56,81,79,92,30,40,40,72,42,37
MDH1,13828,10785,12636,12378,10092,16184,14354,8729,14412,16567,11496,12300
SLC30A9,5796,3753,6995,6989,7338,8696,7307,4710,7529,9425,9103,7092
MTMR11,22,98,64,70,35,23,73,95,31,54,65,63
COX15,2636,5336,3221,2737,3113,3768,3427,4092,3468,4042,3288,2789
CCDC88C,1416,1213,1117,1369,1118,1457,1426,1152,1549,1579,2125,1507
YAF2,1176,1333,1116,1078,1059,1278,1018,998,1183,1477,1324,985
ZMYND11,1184,619,1488,1655,1956,1846,1459,600,1547,2056,1818,1845
WAS,216,386,470,505,420,300,365,526,307,425,689,544
DPEP1,4,7,9,2,4,5,11,31,0,0,0,5
BID,2824,1700,1615,1535,1684,2352,3212,1447,2403,3239,1737,1543
MATR3,23936,23462,20473,19048,18679,25401,21145,20338,27222,32283,22551,21855
NPC1L1,5,17,8,2,10,14,7,40,1,3,0,11
XYLT2,487,869,661,605,789,626,681,972,527,732,901,509
RGPD5,68,640,341,248,228,442,156,955,276,152,227,338
STMN4,0,0,0,1,0,0,0,5,0,0,0,0
NUDCD3,4638,3741,3536,3718,4161,4394,4258,3559,3978,5214,4243,3243
ISL1,0,13,0,4,0,2,0,9,4,0,0,0
CHDH,183,110,236,287,204,167,172,189,73,137,151,73
IL20RA,0,0,0,0,0,0,0,0,0,0,0,0
CLCA1,3,2,8,16,4,5,11,0,1,1,1,10
CLCA4,0,0,0,0,0,0,0,0,0,0,0,0
GLT8D1,1559,1282,1617,1394,1560,1860,1798,1306,2039,2446,2011,1652
ATP2C1,3642,4756,3686,3397,3683,3852,3769,3871,3922,5598,4347,3389
IGF1,1768,4599,2422,2764,5368,3282,3200,3059,3579,5437,8369,3329
SLC38A5,9131,1990,3344,2548,2634,5081,6217,1859,5181,5662,2489,2492
RALBP1,9695,9481,7587,8470,7667,9635,10260,6845,10009,10866,8795,7304
RUFY3,1876,3731,2090,3037,3726,2195,2378,3653,2291,2665,4587,2987
CNTN1,4,11,8,8,0,4,2,0,12,2,28,0
SLC11A1,88,32,102,109,117,102,83,46,153,185,66,189
WWTR1,12,12,14,29,14,13,5,9,18,15,55,2
AGPS,10819,9896,10861,12072,11797,11734,11443,10480,12290,14227,14175,12369
ZNF806,0,0,1,1,1,1,0,0,2,1,0,0
CXorf56,2186,1555,1649,1727,1561,2084,2231,1283,1976,2334,1731,1646
ATP1A2,2,30,11,33,46,9,68,16,31,17,26,11
TTC27,6175,2526,3367,3239,3604,4665,4890,2427,4995,5750,4002,3254
ZNF582,94,84,115,97,94,117,118,63,89,55,95,124
